District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overall CD Ratio
Bishnupur,1326.58,26819.77,0,28146.35,2223.31,31965.95,0,34189.26,167.6,119.19,,121.47
Chandel,13526.64,0,0,13526.64,12524.09,0,0,12524.09,92.59,,,92.59
Churachandpur,37962.84,48056.94,3230.04,89249.82,24058.94,24149.24,1881.22,50089.4,63.37,50.25,58.24,56.12
Imphal East,92748.98,7879.11,108204.78,208832.87,55640.65,4515.81,58519.98,118676.44,59.99,57.31,54.08,56.83
Imphal West,16580.74,31032.72,569806.34,617419.8,12716.9,41909.64,329900.57,384527.11,76.7,135.05,57.9,62.28
Jiribam,7140.48,0,0,7140.48,3042.47,0,0,3042.47,42.61,,,42.61
Kakching,0,14187.16,0,14187.16,0,19792.9,0,19792.9,,139.51,,139.51
Kamjong,800.52,0,0,800.52,1426.85,0,0,1426.85,178.24,0,,178.24
Kangpokpi,10927.52,0,0,10927.52,8385.79,0,0,8385.79,76.74,0,,76.74
Noney,2556.54,0,0,2556.54,3038,0,0,3038,118.83,0,,118.83
Pherzawl,98.66,0,0,98.66,1053.34,0,0,1053.34,1067.65,0,,1067.65
Senapati,49874.24,0,0,49874.24,37363.42,0,0,37363.42,74.92,0,,74.92
Tamenglong,516.52,13820.58,0,14337.1,45.55,3824.73,0,3870.28,8.82,0,,26.99
Tengnoupal,4699.17,7747.09,0,12446.26,7364.33,3783.03,0,11147.36,156.72,48.83,,89.56
Thoubal,4997.81,37424.84,0,42422.65,3498.29,40769.97,0,44268.26,70,108.94,,104.35
Ukhrul,4456.69,21747.69,0,26204.38,1824.68,7555.79,0,9380.47,40.94,34.74,,35.8
