district,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Bishnupur,7,6.06,0,0,1,0.26,36,9.94,9,1.6,575,968.11,318,554.84,329,226.95,54,20.7,1,25.44,0,0
Chandel,6,1.9,1,0.92,0,0,0,0,0,0,199,303.14,84,139.31,6,1.9,0,0,0,0,0,0
Churachandpur,1,0.02,1,0.02,1,0.02,1,0.13,0,0,407,764.61,153,207.44,168,43.98,158,37.09,25,320.19,0,0
Imphal East,615,471.1,6,1.66,23,12.97,16,8.3,0,0,955,3054.55,327,932.19,306,290.89,28,26.19,37,365.69,1,14
Imphal West,23,18.52,0,0,6,1.7,72,47,5,4.65,969,2883.07,425,1097.93,365,304.51,84,66.82,123,1416.98,4,63.83
Jiribam,0,0,0,0,0,0,0,0,0,0,35,54,6,15,0,0,0,0,0,0,0,0
Kakching,7,6.17,2,1.94,0,0,0,0,0,0,267,479.17,97,204.48,50,30.5,20,8.14,6,111.51,1,6.75
Kamjong,0,0,0,0,0,0,0,0,0,0,40,75.73,18,37.98,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,109,355.87,47,84.01,47,42.37,0,0,5,5.87,0,0
Noney,6,2.72,0,0,5,2.07,0,0,0,0,28,57.97,14,30.61,82,71.41,25,11.99,0,0,0,0
PHERZAWAL,0,0,0,0,0,0,0,0,0,0,4,8.17,0,0,0,0,0,0,0,0,0,0
Senapati,10,6.79,1,1,0,0,0,0,0,0,614,1072.32,194,319.21,51,42.23,5,6.04,28,421.44,0,0
Tamenglong,0,0,0,0,0,0,0,0,0,0,225,301.75,96,102,1,2.91,0,0,0,0,0,0
Tengnoupal,128,99.25,2,0.03,0,0,1,0.45,0,0,77,106.17,36,41.42,48,74.11,3,0.35,1,1.14,0,0
Thoubal,207,138.83,0,0,39,11.68,74,68.5,0,0,525,1021.74,127,234.55,319,230.48,60,22.35,14,79.11,0,0
Ukhrul,5,5.84,0,0,0,0,0,0,0,0,342,494.43,99,173.27,86,26.04,64,8.17,1,31.91,0,0
