district,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillaryy No,Ancillaryy Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Bishnupur,212,82.23,289,293.28,5,21.66,15,1.94,521,399.11
Chandel,57,54.59,8,7.1,0,0,0,0,65,61.69
Churachandpur,459,271.34,296,233.82,0,0,0,0,755,505.16
Imphal East,2171,1130.61,547,828.31,4,6.84,126,60.42,2848,2026.18
Imphal West,7089,4630.94,530,876.15,40,108.6,139,99.67,7798,5715.36
Jiribam,0,0,0,0,0,0,0,0,0,0
Kakching,140,58.87,225,171.91,8,7.83,0,0,373,238.61
Kamjong,0,0,0,0,0,0,0,0,0,0
Kangpokpi,22,13.48,1,0.4,0,0,0,0,23,13.88
Noney,0,0,112,39.71,0,0,9,0.8,121,40.51
Pherzawl,62,24.65,1,1.77,0,0,0,0,63,26.42
Senapati,444,216.08,127,88.04,0,0,0,0,571,304.12
Tamenglong,14,1.88,13,9.12,0,0,0,0,27,11
Tengnoupal,1,0.58,4,0.74,0,0,0,0,5,1.32
Thoubal,227,108.61,466,575.85,9,3.42,37,5.98,739,693.86
Ukhrul,140,97.5,44,13.48,0,0,0,0,184,110.98
