district,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,BC Fixed,BC Other,BC Total
Bishnupur,2,14,0,16,11,11,0,22,19,8,42
Chandel,4,0,0,4,4,1,1,6,8,1,9
Churachandpur,13,4,2,19,8,18,1,27,28,9,40
Imphal East,19,4,9,32,26,3,21,50,49,9,71
Imphal West,6,11,53,70,35,39,99,173,66,13,81
Jiribam,3,0,0,3,1,0,0,1,5,0,5
Kakching,0,8,0,8,1,7,2,10,19,5,30
Kamjong,2,0,0,2,0,0,0,0,2,0,2
Kangpokpi,7,0,0,7,6,0,0,6,5,2,6
Noney,3,0,0,3,1,0,0,1,3,1,5
PHERZAWAL,1,0,0,1,0,0,0,0,0,0,2
Senapati,13,0,0,13,11,7,0,18,15,1,16
Tamenglong,2,3,0,5,0,2,0,2,11,0,11
Tengnoupal,3,4,0,7,4,3,0,7,4,0,6
Thoubal,6,12,0,18,8,22,0,30,57,6,76
Ukhrul,3,3,0,6,4,3,0,7,15,1,16
