district,Enrolmentunder PMJJBY,eligiblecasesunder PMJJBY,renewalsunder PMJJBY,Enrolmentunder PMSBY,eligiblecasesunder PMSBY,renewalsunder PMSBY,Enrolmentunder APY,Total Enrolment No.
Bishnupur,3217,95997,2776,10761,155158,8304,1254,15232
Chandel,534,22175,434,1478,33908,1256,90,2102
Churachandpur,3516,108363,2487,8122,159199,5942,1374,13012
Imphal East,7491,149068,4518,24685,221559,14406,3030,35206
Imphal West,13429,253792,9775,41171,376138,28567,5201,59801
Jiribam,361,14423,312,556,1440,496,246,1163
Kakching,2941,40682,1807,8764,63911,6092,619,12324
Kamjong,16,2372,14,225,3801,67,12,253
Kangpokpi,847,18634,733,2394,31012,2004,375,3616
Noney,262,5991,184,672,8289,553,71,1005
Pherzawl,21,501,0,140,711,3,0,161
Senapati,2133,78257,1172,5499,112313,4227,553,8185
Tamenglong,1150,15287,955,2481,18407,1930,358,3989
Tengnoupal,1356,22196,763,3185,31064,1882,173,4714
Thoubal,2225,74662,1970,10208,127803,7699,1073,13506
Ukhrul,1106,40228,736,2025,52895,1480,523,3654
