district,Export No.,Export Amt.,Education PS No.,Education PS Amt.,Housing PS No.,Housing PS Amt.,Social Infra No.,Social Infra Amt.,Renewable No.,Renewable Amt.,Other PS No.,Other PS Amt.,OPS Total O/S No.,OPS Total O/S Amount
Bishnupur,0,0,21,90.7,314,3365.46,0,0,0,0,421,674.69,756,4130.85
Chandel,0,0,9,22.3,55,533.81,0,0,0,0,18,37.81,82,593.92
Churachandpur,0,0,66,131.84,582,5559.02,5,50.25,1,0.02,934,969.29,1588,6710.42
Imphal East,0,0,171,658.79,2304,10225.75,555,148.1,780,659.68,399,1144.7,4209,12837.02
Imphal West,0,0,454,1830.71,4913,29279.52,7,591.4,881,6549.65,1114,1774.02,7369,40025.3
Jiribam,0,0,1,0.48,8,70,0,0,0,0,135,652,144,722.48
Kakching,0,0,18,42.06,150,1768.52,0,0,0,0,587,807.77,755,2618.35
Kamjong,0,0,0,0,0,0,0,0,1,1.49,0,0,1,1.49
Kangpokpi,0,0,3,23.35,39,455.16,0,0,0,0,50,59.61,92,538.12
Noney,0,0,1,7.02,0,0,0,0,0,0,0,0,1,7.02
PHERZAWAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,64,241.02,139,1890.91,7,39.58,0,0,148,53.54,358,2225.05
Tamenglong,0,0,5,9.82,7,84.72,0,0,0,0,1,2.91,13,97.45
Tengnoupal,0,0,2,4.5,54,661.42,0,0,0,0,195,153.34,251,819.26
Thoubal,0,0,28,103.21,349,3840.33,140,42.12,0,0,418,573.13,935,4558.79
Ukhrul,0,0,6,15.95,11,79.07,0,0,0,0,300,177.36,317,272.38
