district,Micro No.,Micro Amt.,Small No.,Small Amt.,Medium No.,Medium Amt.,Other MSME No.,Other MSME Amt.,MSME Total O/S No.,MSME Total O/S Amount
Bishnupur,8733,4864.97,46,262.16,18,53.83,27,72.74,8824,5253.7
Chandel,467,471.1,3,26.26,0,0,7,7.69,477,505.05
Churachandpur,2824,3791.89,222,1139.3,53,160.76,25,55.87,3124,5147.82
Imphal East,18587,13033.93,462,4801.98,65,901.35,198,451.18,19312,19188.44
Imphal West,25583,41508.32,1423,20973.6,213,9091.04,1194,1654.39,28413,73227.35
Jiribam,5291,1511.79,10,50,0,0,0,0,5301,1561.79
Kakching,8349,4350.91,127,800.65,0,0,5,19.42,8481,5170.98
Kamjong,113,98.91,0,0,0,0,1,3.35,114,102.26
Kangpokpi,895,1783.39,8,65.2,0,0,10,64.73,913,1913.32
Noney,411,389.82,0,0,0,0,7,40.02,418,429.84
PHERZAWAL,8,9.5,0,0,0,0,0,0,8,9.5
Senapati,1384,2517.06,90,906.81,2,65.78,300,562.56,1776,4052.21
Tamenglong,684,647.38,6,50.3,0,0,0,0,690,697.68
Tengnoupal,889,811.79,64,43.19,0,0,2,30.68,955,885.66
Thoubal,13426,7428.37,78,773.79,24,322.46,8,19.31,13536,8543.93
Ukhrul,928,1231.14,3,48.31,0,0,4,2.42,935,1281.87
