district,Agri (PS) Total O/S No.,Agri (PS) Total O/S Amount,MSME (PS) Total O/S No.,MSME (PS) Total O/S Amount,Other PS Total O/S No.,Other PS Total O/S Amount,Total PS O/S No.,Total PS O/S Amount
Bishnupur,8620,6494.79,8824,5253.7,756,4130.85,18200,15879.34
Chandel,145,128.47,477,505.05,82,593.92,704,1227.44
Churachandpur,3943,3018.93,3124,5147.82,1588,6710.42,8655,14877.17
Imphal East,6981,9476.42,19312,19188.44,4209,12837.02,30502,41501.88
Imphal West,20484,25191.16,28413,73227.35,7369,40025.3,56266,138443.81
Jiribam,1086,430.37,5301,1561.79,144,722.48,6531,2714.64
Kakching,2245,1827.63,8481,5170.98,755,2618.35,11481,9616.96
Kamjong,0,0,114,102.26,1,1.49,115,103.75
Kangpokpi,926,571.21,913,1913.32,92,538.12,1931,3022.65
Noney,445,287.33,418,429.84,1,7.02,864,724.19
Pherzawl,4,1.83,8,9.5,0,0,12,11.33
Senapati,1687,1135.53,1776,4052.21,358,2225.05,3821,7412.79
Tamenglong,243,151.89,690,697.68,13,97.45,946,947.02
Tengnoupal,858,831.47,955,885.66,251,819.26,2064,2536.39
Thoubal,8711,6763.34,13536,8543.93,935,4558.79,23182,19866.06
Ukhrul,818,690.04,935,1281.87,317,272.38,2070,2244.29
