District,Smalland Marginal Farmers No.,Smalland Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,womenbeneficiaries No.,womenbeneficiaries Amt,Minoritycommunities No.,Minoritycommunities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Bishnupur,6072,2980.76,287,279.52,211,259.86,8,17.6,573,428.69,6452,2501.49,657,512.56,55,19.04,4126,2194.11,18441,9193.63
Chandel,45,13.67,3,1.35,308,406.83,0,0,1,0.92,95,51.72,351,698.28,0,0,40,31.63,843,1204.4
Churachandpur,1985,1155.36,36,37.31,3970,6838.42,6,17.94,232,164.16,1664,632.9,4379,8667.61,4,0.04,269,477.11,12545,17990.85
Imphal East,5178,3907.8,224,420.97,671,1247.99,2,0.15,750,619.25,10887,3898.54,2423,2459.62,25,0.74,6944,3510.78,27104,16065.84
Imphal West,10628,13471.47,1881,3515.86,4586,8182.86,10,6.15,458,361.18,11138,4771.86,9604,19737.14,330,4.67,10249,5863.03,48884,55914.22
Jiribam,380,200.91,366,159.53,778,827.2,0,0,0,0,35,1.61,175,323,0,0,3544,1394.07,5278,2906.32
Kakching,2098,1872.93,5119,4820.89,369,383.25,0,0,164,205648.93,1614,726.04,728,1454.55,0,0,853,592.7,10945,215499.29
Kamjong,0,0,0,0,0,0,0,0,0,0,54,15.96,112,96.93,0,0,18,5.35,184,118.24
Kangpokpi,478,320.93,67,163.19,614,1044.77,0,0,110,75.52,224,157.18,471,907.87,0,0,61,180.68,2025,2850.14
Noney,438,280.31,1,0.92,752,567.43,0,0,85,72.1,589,324.26,804,648.85,0,0,1,0.38,2670,1894.25
Pherzawl,4,1.83,0,0,0,0,0,0,0,0,2,0.76,12,11.33,0,0,0,0,18,13.92
Senapati,1870,1341.04,70,132.59,1401,2256.05,0,0,43,38.33,1144,766.73,3004,5873.26,2,0.02,189,308.59,7723,10716.61
Tamenglong,316,259.45,59,95,1615,2782.01,23,2.58,7,5,368,297.04,1452,2717.44,0,0,169,371.72,4009,6530.24
Tengnoupal,288,197.77,13,22.55,587,476.62,0,0,145,106.23,441,184.84,653,691.06,0,0,128,51.93,2255,1731
Thoubal,4562,3405.75,485,659.69,239,332.46,0,0,587,438.56,6916,2341.15,2372,1804.46,235,3.14,5422,2077.96,20818,11063.17
Ukhrul,483,432.8,58,89,2287,3919.42,0,0,136,41.09,421,290.99,1821,3354.63,0,0,123,180.87,5329,8308.8
