district,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Bishnupur,1074577,48651.28,780486,19896.95,1,0,211431,32505.66,103155,6911.22,168373,2059.01
Chandel,6195,117.27,279284,6379.7,2,0,1752,135.61,7527,304.1,90140,1175.43
Churachandpur,37406756,1896682.71,979413,23544.39,8,0.02,11935945,2669896.33,63228,2186.46,300715,4217.99
Imphal East,105843437,4240137.36,1630691,41005.1,74,6.89,13801737,3258406.38,217351,7119.88,532024,7061.02
Imphal West,183504770,8965687.59,3037892,79892.68,344,41.08,48499375,13018756.21,585863,47539.46,1160950,16188.04
Jiribam,781,7313,44045,1967.63,21,2.6,868,86,20528,41723.26,11980,376.8
Kakching,51350,3180.56,469955,12401.66,15,2.7,27348,965.66,45348,1983.13,114532,1417.55
Kamjong,0,0,37184,927.38,0,0,0,0,0,0,6781,109.87
Kangpokpi,3005,66.94,242949,7082.44,0,0,3410,455.41,10291,251.74,76410,998.42
Noney,25097,459.23,80581,2519.46,0,0,3406,195.93,5123,203.34,11256,150.28
PHERZAWAL,0,0,3666,83.66,0,0,0,0,0,0,915,9.08
Senapati,40393419,2020796.33,906780,22263.54,21,2.52,7421305,1966189.39,29208,1240.9,238021,3113.73
Tamenglong,32670,506.17,13648,263.51,14,3,4398,476.96,1967,135.73,1615,15.96
Tengnoupal,19500,321.93,222557,6203.15,0,0.01,4866,526.08,18512,861.47,60467,772.27
Thoubal,87880497,4246327.29,851481,22990.37,71,9.32,12574412,3150159.63,122392,4612.89,166145,2084.8
Ukhrul,21400,486.84,291713,7309.4,5,0.4,8621,904.11,39604,2330.3,85545,1087.96
