District,Inactive BC,Rupay Cardactivein PMJDY,First Time Active Rupay Card,Aadhaar Authenticated Sb accounts,Rupay Cardissuedin KCC
Bishnupur,1,108003,40170,126668,4825
Chandel,1,9584,8057,15895,89
Churachandpur,2,98477,50983,134878,1392
Imphal East,1,132180,54255,194908,5129
Imphal West,4,183965,81385,354662,10660
Jiribam,0,9554,421,8566,85
Kakching,0,52886,25655,62775,984
Kamjong,0,2229,2229,1862,0
Kangpokpi,1,19474,13526,27766,365
Noney,0,8205,3554,7665,178
Pherzawl,0,335,335,366,0
Senapati,1,40777,36345,54961,937
Tamenglong,0,19470,2222,15339,15
Tengnoupal,1,10454,7422,18008,140
Thoubal,0,113399,61963,121667,2431
Ukhrul,2,37828,18061,29212,299
