District,Agri Target,Agri Achievement,Agri %,MSME Target,MSME Achievement,MSME %,OPS Target,OPS Achievement,OPS %,TPS Target,TPS Achievement,TPS %,NPS Target,NPS Achievement,NPS %,Total Target,Total Achievement,Total %
Araria,168136,122719,72.99,70854,63899,90.18,21898,41602,189.98,260888,228220,87.48,84253,60835,72.21,345141,289055,83.75
Arwal,58876,63036,107.07,19453,14172,72.85,7750,6284,81.08,86079,83492,96.99,27955,30786,110.13,114034,114278,100.21
Aurangabad,184722,172316,93.28,66437,65317,98.31,22959,19859,86.50,274118,257492,93.93,83907,224407,267.45,358025,481899,134.60
Banka,134531,124903,92.84,41431,40540,97.85,14387,12459,86.60,190349,177902,93.46,55794,40255,72.15,246143,218157,88.63
Begusarai,218273,234975,107.65,117394,157737,134.37,39880,39876,99.99,375547,432588,115.19,156466,109441,69.95,532013,542029,101.88
Bhagalpur,237890,156986,65.99,148891,139325,93.58,54724,41638,76.09,441505,337949,76.54,217069,159406,73.44,658574,497355,75.52
Bhojpur,204202,193920,94.96,94739,80073,84.52,33085,23417,70.78,332026,297410,89.57,117567,81646,69.45,449593,379056,84.31
Buxar,142755,114441,80.17,60452,49790,82.36,22736,11810,51.94,225943,176041,77.91,72618,48330,66.55,298561,224371,75.15
Darbhanga,182377,152699,83.73,113109,102993,91.06,37154,31839,85.69,332640,287531,86.44,154482,114805,74.32,487122,402336,82.59
Gaya,239676,245048,102.24,135859,138901,102.24,48716,26994,55.41,424251,410943,96.86,190613,127944,67.12,614864,538887,87.64
Gopalganj,187762,150820,80.33,59114,52807,89.33,22005,15328,69.66,268881,218955,81.43,79659,53326,66.94,348540,272281,78.12
Jamui,119247,89528,75.08,37595,29907,79.55,14654,15048,102.69,171496,134483,78.42,49309,57334,116.27,220805,191817,86.87
Jehanabad,70966,80908,114.01,40184,27405,68.20,15131,10566,69.83,126281,118879,94.14,54835,52594,95.91,181116,171473,94.68
Kaimur (Bhabua),126468,156959,124.11,40958,35185,85.91,14448,8498,58.82,181874,200642,110.32,54785,32827,59.92,236659,233469,98.65
Katihar,155852,134513,86.31,70786,73927,104.44,22738,45346,199.43,249376,253786,101.77,94562,75746,80.10,343938,329532,95.81
Khagaria,117890,103538,87.83,45673,38386,84.05,17075,13046,76.40,180638,154970,85.79,58920,69719,118.33,239558,224689,93.79
Kishanganj,86043,72050,83.74,41959,28912,68.91,12785,34117,266.85,140787,135079,95.95,47717,43356,90.86,188504,178435,94.66
Lakhisarai,83480,80607,96.56,31252,28434,90.98,11874,11935,100.51,126606,120976,95.55,40929,31897,77.93,167535,152873,91.25
Madhepura,110859,87971,79.35,55114,35846,65.04,17363,19563,112.67,183336,143380,78.21,71297,42998,60.31,254633,186378,73.19
Madhubani,286435,215517,75.24,108322,94777,87.50,38035,23969,63.02,432792,334263,77.23,143513,81261,56.62,576305,415524,72.10
Munger,97871,73049,74.64,55358,36489,65.91,20667,13671,66.15,173896,123209,70.85,76345,71558,93.73,250241,194767,77.83
Muzaffarpur,313030,282270,90.17,183375,220915,120.47,64242,68620,106.81,560647,571805,101.99,256783,510860,198.95,817430,1082665,132.45
Nalanda,237553,167775,70.63,90854,86508,95.22,33351,23564,70.65,361758,277847,76.80,115005,68757,59.79,476763,346604,72.70
Nawada,155150,147606,95.14,49224,41976,85.28,18429,13325,72.30,222803,202907,91.07,62646,45435,72.53,285449,248342,87.00
Pashchim Champaran,186427,152647,81.88,89405,76009,85.02,30930,15771,50.99,306762,244427,79.68,119680,62536,52.25,426442,306963,71.98
Patna,445290,575910,129.33,676273,792063,117.12,251617,174460,69.34,1373180,1542433,112.33,1019717,1913843,187.68,2392897,3456276,144.44
Purbi Champaran,253540,226867,89.48,129299,129119,99.86,42091,33588,79.80,424930,389574,91.68,161500,97236,60.21,586430,486810,83.01
Purnia,163313,165963,101.62,108199,149437,138.11,32804,42879,130.71,304316,358279,117.73,132084,68911,52.17,436400,427190,97.89
Rohtas,197419,216049,109.44,88973,86146,96.82,33069,19245,58.20,319461,321440,100.62,117638,73070,62.11,437099,394510,90.26
Saharsa,72647,83825,115.39,44485,45641,102.60,15634,15103,96.60,132766,144569,108.89,64781,54653,84.37,197547,199222,100.85
Samastipur,312571,269056,86.08,119252,113045,94.80,41241,60380,146.41,473064,442481,93.54,161492,187792,116.29,634556,630273,99.33
Saran,221098,198916,89.97,98855,82054,83.00,31714,37839,119.31,351667,318809,90.66,126525,91024,71.94,478192,409833,85.70
Sheikhpura,66183,62168,93.93,23874,17659,73.97,9253,5814,62.83,99310,85641,86.24,34029,15677,46.07,133339,101318,75.99
Sheohar,53695,45632,84.98,20188,13088,64.83,7103,5066,71.32,80986,63786,78.76,26774,25388,94.82,107760,89174,82.75
Sitamarhi,205675,142015,69.05,76484,70347,91.98,25759,19972,77.53,307918,232334,75.45,103904,62350,60.01,411822,294684,71.56
Siwan,217664,314232,144.37,93489,85934,91.92,31172,22323,71.61,342325,422489,123.42,123390,91068,73.81,465715,513557,110.27
Supaul,114015,102582,89.97,56923,41508,72.92,17945,20461,114.02,188883,164551,87.12,79423,53021,66.76,268306,217572,81.09
Vaishali,220419,407092,184.69,95914,96874,101.00,33582,40506,120.62,349915,544472,155.60,132034,95531,72.35,481949,640003,132.79
