District,Lead Bank,Date of Establishment of RSETI,Land Allotted by State Govt. (Yes/No),MoU for land executed with the district administra tion (Yes/No),Grant received from NIRD (Yes/No),Map approved by Local authority (Yes/No),Constructio n Started ( Yes/No),Details of Training Programme Organised During Financial Year 31.03.2022 No. of persons s o urced by the branches for training,No of training programm es organised,No. of persons trained,Since Inception No of training programm es organised,No. of persons trained,AS ON 31.03.2022 No. of trainees settled,No. of trainees settled with Bank finance,AS ON March 2022 Name of the Agency viz. DRDA/KVIC/ NABARD etc.with whom claims are pending,Amt of reimbursement claim pending (Amt in Lacs)
Araria,SBI,19-02-2010,Yes,Yes,Yes,Yes,Yes,0,15,495,199,5587,4310,2227,,19
Arwal,pnb,12-12-2011,YES,YES,YES,YES,YES,97,16,478,228,6451,4716,1956,SRLM/NULM,8
Aurangabad,pnb,29-02-2012,YES,YES,YES,YES,YES,16,16,495,261,7310,5249,2309,DRDA/SRLM,10
Banka,uco,20-07-2011,YES,YES,YES,YES,YES,34,3,40,194,6184,924,479,SRLM,3
Begusarai,uco,29-07-2011,YES,YES,YES,YES,YES,45,2,40,189,6342,978,424,SRLM,2
Bhagalpur,uco,14-03-2011,YES,YES,YES,YES,YES,32,2,41,180,5760,798,321,SRLM,3
Bhojpur,pnb,28-03-2012,YES,YES,YES,YES,YES,130,14,456,194,5723,4140,1497,SRLM,1
Buxar,pnb,26-12-2012,YES,YES,YES,YES,YES,70,15,476,208,5327,3650,1388,KVIC,2
Darbhanga,cbi,27-11-2010,YES,YES,YES,YES,YES,1,15,501,223,6469,4057,1380,SRLM,3
Gaya,pnb,24-03-2010,YES,YES,YES,YES,NO,11,1,32,339,9210,6330,2842,SRLM,10
Gopalganj,cbi,10-02-2011,YES,YES,YES,YES,YES,5,7,190,172,5096,3450,1304K,VIC NRLM & NUL,M 5
Jamui,SBI,26-03-2011,Yes,Yes,Yes,Yes,Yes,0,22,604,191,5326,3893,2131,,26
Jehanabad,pnb,30-09-2011,YES,YES,YES,YES,YES,54,17,499,251,7016,5056,2385,SRLM,17
Kaimur (Bhabua),pnb,29-12-2011,YES,YES,NO,YES,YES,21,8,247,227,5938,4097,1002,SRLM,0
Katihar,cbi,01-10-2011,YES,YES,YES,YES,YES,8,8,241,204,5839,4720,2470,SRLM,11
Khagaria,ubi,10-02-2010,YES,YES,YES,YES,NO,10,18,596,206,6685,4092,1448,,0
Kishanganj,SBI,19-03-2010,Yes,Yes,Yes,Yes,Yes,0,20,563,230,6770,4863,2502,,80
Lakhisarai,pnb,28-09-2010,YES,YES,YES,YES,NO,8,1,22,228,5789,3514,1112,SRLM,8
Madhepura,SBI,27-03-2009,Yes,Yes,Yes,Yes,Yes,0,18,482,208,5626,3988,1986,,23
Madhubani,cbi,29-01-2011,YES,YES,YES,YES,YES,1,9,309,215,6026,3671,1353,SRLM,9
Munger,uco,01-02-2011,YES,YES,YES,YES,YES,33,3,50,171,5487,984,398,SRLM,4
Muzaffarpur,cbi,19-02-2007,YES,YES,YES,YES,YES,1,18,557,298,8178,6155,2813,SRLM,6
Nalanda,pnb,15-02-2010,YES,YES,YES,YES,YES,13,1,35,239,7482,4214,1877,,0
Nawada,pnb,28-03-2010,YES,YES,YES,YES,NO,150,18,606,293,7646,5476,1861,,0
Pashchim Champaran,cbi,27-01-2011,YES,YES,YES,YES,YES,5,15,453,209,6085,3527,1562,SRLM KVIC,2
Patna,pnb,15-01-2007,NO,NO,NO,NO,NO,70,21,542,278,8845,5850,2064,,0
Purbi Champaran,cbi,19-12-2011,YES,YES,YES,YES,YES,5,16,489,235,7266,4542,2149,SRLM,1
Purnia,SBI,30-03-2007,Yes,Yes,Yes,Yes,Yes,0,20,602,220,5990,4632,2267,,44
Rohtas,pnb,27-11-2012,YES,YES,YES,YES,YES,128,17,534,212,6519,4575,1871,SRLM,25
Saharsa,SBI,27-03-2009,Yes,Yes,Yes,Yes,Yes,0,19,546,223,5854,4162,2129,,38
Samastipur,ubi,01-07-2010,YES,YES,YES,YES,NO,10,5,118,185,5376,3643,1203,,0
Saran,cbi,08-02-2011,YES,YES,YES,YES,YES,3,13,369,170,4861,2770,1065,SRLM,5
Sheikhpura,can,19-01-2010,YES,YES,YES,YES,YES,130,20,573,319,9824,6912,4563,KVICNSKSHGOVT,. 31
Sheohar,bob,31-03-2010,YES,YES,YES,YES,NO,210,27,822,319,9248,7277,3080,SRLM,12
Sitamarhi,bob,28-03-2012,YES,YES,YES,YES,NO,54,14,602,222,6118,3933,2109,SRLM,0
Siwan,cbi,15-03-2011,YES,YES,YES,YES,YES,10,10,342,176,4829,3733,1889,SRLM KVIC,8
Supaul,SBI,25-03-2009,Yes,Yes,Yes,Yes,Yes,0,18,616,238,6658,5044,2973,,20
Vaishali,can,30-01-2008,YES,YES,YES,YES,YES,150,28,762,404,12162,9213,3759,SRLM JIVIKA,96
