District,No of Appl. Received,No of Appl. Accepted,No of Appl. Sanctioned,% of Sanctnd. out of Accepted Appl.,Total Rejected/Returned Applications,% of Returned/Rejected Applications out of Accepted Applications,Pendency more than 15 days,% of Pendency more than 15 days
Araria,4293,3999,498,12.45,1720,43.01,1269,31.73
Arwal,786,786,169,21.50,350,44.53,264,33.59
Aurangabad,1684,1593,710,44.57,831,52.17,33,2.07
Banka,4816,4816,822,17.07,2607,54.13,983,20.41
Begusarai,4702,3591,985,27.43,1512,42.11,967,26.93
Bhagalpur,4658,4658,943,20.24,2995,64.30,639,13.72
Bhojpur,4313,4303,842,19.57,2963,68.86,450,10.46
Buxar,4917,4915,823,16.74,2370,48.22,1297,26.39
Darbhanga,4888,4888,1169,23.92,2702,55.28,788,16.12
Gaya,7591,6801,1792,26.35,3434,50.49,1220,17.94
Gopalganj,2153,2153,552,25.64,548,25.45,890,41.34
Jamui,3851,3741,571,15.26,2317,61.94,347,9.28
Jehanabad,2856,2850,1048,36.77,1345,47.19,382,13.40
Kaimur (Bhabua),2802,2802,796,28.41,1468,52.39,517,18.45
Katihar,3507,3507,642,18.31,2523,71.94,278,7.93
Khagaria,3434,3434,467,13.60,2440,71.05,449,13.08
Kishanganj,3734,3734,625,16.74,2477,66.34,487,13.04
Lakhisarai,3007,3007,1146,38.11,1574,52.34,185,6.15
Madhepura,3094,3094,929,30.03,1601,51.75,378,12.22
Madhubani,8151,8122,549,6.76,2269,27.94,4431,54.56
Munger,3360,3360,352,10.48,1669,49.67,1260,37.50
Muzaffarpur,9384,9384,1661,17.70,4355,46.41,2413,25.71
Nalanda,1006,1006,616,61.23,332,33.00,45,4.47
Nawada,4450,4397,1030,23.43,2432,55.31,777,17.67
Pashchim Champaran,2516,2516,551,21.90,812,32.27,1116,44.36
Patna,4613,4603,797,17.31,1595,34.65,1414,30.72
Purnia,5741,5741,626,10.90,1783,31.06,2999,52.24
Rohtas,5573,5573,776,13.92,3802,68.22,571,10.25
Saharsa,2989,2989,661,22.11,2184,73.07,132,4.42
Samastipur,5007,3759,939,24.98,1560,41.50,1059,28.17
Saran,3110,3110,665,21.38,1823,58.62,497,15.98
Sheikhpura,1141,1048,131,12.50,718,68.51,87,8.30
Sheohar,1403,1369,411,30.02,602,43.97,312,22.79
Sitamarhi,6229,6183,854,13.81,954,15.43,2929,47.37
Siwan,1425,1378,199,14.44,617,44.78,490,35.56
Supaul,1129,1127,231,20.50,813,72.14,75,6.65
Vaishali,5775,5775,1520,26.32,2822,48.87,1148,19.88
