District,WEAKER SECTION,WOMEN,SC,ST,OBC,MINORITY,EXSER,HANDICAP
Araria,41173,21445,6845,3451,25655,7436,396,26
Arwal,29266,2979,897,75,9268,2019,4,3
Aurangabad,69572,20478,4885,522,31970,7155,25,23
Banka,36322,10758,2189,981,16338,3607,429,109
Begusarai,96165,39722,6139,1006,49212,11400,56,69
Bhagalpur,76695,35544,4629,2166,28983,10018,602,103
Bhojpur,113231,30680,11698,3637,31667,12993,170,122
Buxar,51075,16336,3220,731,20091,5483,153,54
Darbhanga,106770,41186,21781,9925,55280,12232,948,33
Gaya,160444,37371,20721,7546,37021,22789,66,53
Gopalganj,79905,26353,11606,7199,40164,7861,748,53
Jamui,39280,9613,1394,277,16260,3913,30,27
Jehanabad,36307,5504,1359,216,12744,2854,11,16
Kaimur (Bhabua),46902,11838,1130,224,16314,3941,4,3
Katihar,49876,24795,6827,3899,28383,8275,402,22
Khagaria,43855,11972,1951,374,23169,4223,32,27
Kishanganj,24606,12752,4791,2437,16232,8283,262,11
Lakhisarai,33980,6181,1181,379,13383,3068,3,2
Madhepura,42767,15436,6785,3737,26406,4616,416,6
Madhubani,116106,27535,19231,12400,71730,12675,1378,42
Munger,34376,6613,1598,232,13658,2936,59,1651
Muzaffarpur,176638,68410,24164,10301,109621,26420,1114,90
Nalanda,60293,13176,3394,696,29004,8793,59,75
Nawada,59937,12356,2055,361,27246,6434,20,20
Pashchim Champaran,82602,28331,11733,7596,48409,9235,874,77
Patna,400591,134771,47925,13716,118378,50216,328,252
Purbi Champaran,122454,53029,16478,9764,64495,13124,1022,24
Purnia,71826,37234,8770,5891,34810,18487,592,120
Rohtas,65434,13239,3004,576,22978,5754,30,27
Saharsa,36426,18299,5918,3143,22347,7495,473,117
Samastipur,113150,46951,9538,1814,65979,16971,50,47
Saran,110645,49560,16507,8681,54052,10080,899,38
Sheikhpura,131312,4446,1160,378,10821,2436,48,22
Sheohar,17850,3531,3160,1601,10270,2089,190,14
Sitamarhi,57321,21314,8618,5126,35673,7385,595,30
Siwan,296365,43617,54493,29239,59092,42371,951,41
Supaul,37826,11569,7632,3771,23982,7368,753,125
Vaishali,439212,30375,90832,40301,43666,66219,811,61
