District,No of Appl.s Received,No of Appl.s Accepted,No of Appl.s Sanctioned,% of Sanctnd. out of Accepted Appl.,Total Rejected/Retur ned Applications,% of Returned/Rejected Applications out of Accepted Applications,Pendency more than 15 days,% of Pendenc y more than 15 days
Araria,330,330,69,20.91,261,79.09,0,0.00
Arwal,164,164,8,4.88,152,92.68,4,2.44
Aurangabad,517,502,10,1.99,492,98.01,0,0.00
Banka,220,220,46,20.91,173,78.64,1,0.45
Begusarai,339,281,41,14.59,171,60.85,66,23.49
Bhagalpur,14,14,0,0.00,14,100.00,0,0.00
Bhojpur,4,4,1,25.00,3,75.00,0,0.00
Buxar,217,217,133,61.29,76,35.02,8,3.69
Darbhanga,14,14,0,0.00,14,100.00,0,0.00
Gaya,487,487,112,23.00,331,67.97,44,9.03
Gopalganj,85,85,16,18.82,48,56.47,17,20.00
Jamui,347,347,8,2.31,315,90.78,17,4.90
Jehanabad,62,52,13,25.00,32,61.54,7,13.46
Kaimur (Bhabua),177,177,7,3.95,114,64.41,56,31.64
Katihar,104,83,1,1.20,82,98.80,0,0.00
Khagaria,1873,1873,1,0.05,1870,99.84,2,0.11
Kishanganj,97,97,12,12.37,83,85.57,0,0.00
Lakhisarai,368,368,84,22.83,279,75.82,4,1.09
Madhepura,257,257,4,1.56,249,96.89,1,0.39
Madhubani,180,180,12,6.67,147,81.67,19,10.56
Munger,422,422,5,1.18,372,88.15,43,10.19
Muzaffarpur,194,194,30,15.46,129,66.49,10,5.15
Nalanda,91,91,11,12.09,71,78.02,9,9.89
Nawada,142,142,12,8.45,130,91.55,0,0.00
Pashchim Champaran,495,495,120,24.24,344,69.49,31,6.26
Patna,43,43,5,11.63,34,79.07,4,9.30
Purnia,175,175,9,5.14,122,69.71,44,25.14
Rohtas,30,30,2,6.67,20,66.67,8,26.67
Saharsa,308,142,10,7.04,128,90.14,4,2.82
Samastipur,180,158,40,25.32,115,72.78,3,1.90
Saran,425,425,11,2.59,397,93.41,13,3.06
Sheikhpura,113,81,16,19.75,42,51.85,19,23.46
Sheohar,36,36,4,11.11,32,88.89,0,0.00
Sitamarhi,66,66,16,24.24,47,71.21,3,4.55
Siwan,128,128,31,24.22,86,67.19,11,8.59
Supaul,274,113,1,0.88,112,99.12,0,0.00
Vaishali,40,40,11,27.50,24,60.00,5,12.50
