District,Branch Rural,Branch Semi-Urban,Branch Urban,Branch Total,ATM Rural,ATM Semi-Urban,ATM Urban,ATM Total,ATM Card,POS
Araria,82,76,2,160,15,71,12,98,1776169,818
Arwal,40,19,2,61,18,11,0,29,460085,266
Aurangabad,121,40,28,189,51,56,40,147,1928417,756
Banka,77,37,1,115,39,41,4,84,1014724,310
Begusarai,83,105,39,227,37,78,76,191,2233057,1662
Bhagalpur,103,93,82,278,41,87,158,286,2359527,2647
Bhojpur,128,55,51,234,39,69,89,197,1753796,2087
Buxar,89,38,28,155,28,32,39,99,1170163,812
Darbhanga,113,64,68,245,39,29,143,211,2396938,2219
Gaya,179,39,84,302,61,73,191,325,3067099,2816
Gopalganj,120,67,0,187,48,78,17,143,1946574,879
Jamui,73,46,1,120,14,28,3,45,1087989,604
Jehanabad,57,10,27,94,12,29,31,72,760188,486
Kaimur (Bhabua),84,32,3,119,14,48,3,65,1128686,462
Katihar,109,37,39,185,25,36,61,122,1939203,933
Khagaria,52,61,4,117,23,46,10,79,857212,548
Kishanganj,62,23,24,109,10,36,24,70,1293377,504
Lakhisarai,44,35,1,80,7,35,4,46,528929,327
Madhepura,41,78,0,119,14,63,5,82,1562699,1064
Madhubani,125,150,1,276,46,106,28,180,2684074,1495
Munger,61,28,44,133,17,39,44,100,1352306,809
Muzaffarpur,182,87,114,383,75,99,218,392,3142599,9517
Nalanda,146,63,42,251,29,73,75,177,1785948,1302
Nawada,72,65,3,140,9,55,6,70,1459316,640
Pashchim Champaran,101,75,39,215,30,79,76,185,2755699,1179
Patna,218,164,554,936,97,163,1269,1529,6292227,35469
Purbi Champaran,106,135,48,289,46,89,68,203,3455264,2129
Purnia,104,50,73,227,35,30,108,173,2763624,1648
Rohtas,133,45,49,227,26,60,76,162,2096497,1254
Saharsa,50,29,28,107,8,44,53,105,1278238,824
Samastipur,165,119,4,288,45,138,26,209,2817168,1462
Saran,158,54,47,259,54,51,102,207,2988190,1734
Sheikhpura,31,28,1,60,4,32,5,41,368622,202
Sheohar,20,25,0,45,13,13,3,29,215206,182
Sitamarhi,61,105,0,166,29,72,13,114,1794257,838
Siwan,132,62,50,244,62,41,70,173,2391253,3064
Supaul,50,71,1,122,18,60,7,85,1719365,716
Vaishali,138,67,44,249,38,84,97,219,2288318,1825
