District,Rural Branches,Camps Conducted
Araria,82,200
Arwal,40,160
Aurangabad,121,297
Banka,77,158
Begusarai,83,219
Bhagalpur,103,210
Bhojpur,128,328
Buxar,89,233
Darbhanga,113,289
Gaya,179,431
Gopalganj,120,236
Jamui,73,191
Jehanabad,57,159
Kaimur (Bhabua),84,235
Katihar,109,156
Khagaria,52,148
Kishanganj,62,107
Lakhisarai,44,151
Madhepura,41,176
Madhubani,125,279
Munger,61,152
Muzaffarpur,182,454
Nalanda,146,413
Nawada,72,215
Pashchim Champaran,101,239
Patna,218,451
Purbi Champaran,106,334
Purnia,104,125
Rohtas,133,362
Saharsa,50,125
Samastipur,165,424
Saran,158,406
Sheikhpura,31,116
Sheohar,20,65
Sitamarhi,61,135
Siwan,132,290
Supaul,50,116
Vaishali,138,235
