District,Priority Sector Advance Amt,Minority Advance Amt,Minority Share %
Araria,228220,7436,3.26
Arwal,83492,2019,2.42
Aurangabad,257492,7155,2.78
Banka,177902,3607,2.03
Begusarai,432588,11400,2.64
Bhagalpur,337949,10018,2.96
Bhojpur,297410,12993,4.37
Buxar,176041,5483,3.11
Darbhanga,287531,12232,4.25
Gaya,410943,22789,5.55
Gopalganj,218955,7861,3.59
Jamui,134483,3913,2.91
Jehanabad,118879,2854,2.40
Kaimur (Bhabua),200642,3941,1.96
Katihar,253786,8275,3.26
Khagaria,154970,4223,2.73
Kishanganj,135079,8283,6.13
Lakhisarai,120976,3068,2.54
Madhepura,143380,4616,3.22
Madhubani,334263,12675,3.79
Munger,123209,2936,2.38
Muzaffarpur,571805,26420,4.62
Nalanda,277847,8793,3.16
Nawada,202907,6434,3.17
Pashchim Champaran,244427,9235,3.78
Patna,1542433,50216,3.26
Purbi Champaran,389574,13124,3.37
Purnia,358279,18487,5.16
Rohtas,321440,5754,1.79
Saharsa,144569,7495,5.18
Samastipur,442481,16971,3.84
Saran,318809,10080,3.16
Sheikhpura,85641,2436,2.84
Sheohar,63786,2089,3.28
Sitamarhi,232334,7385,3.18
Siwan,422489,42371,10.03
Supaul,164551,7368,4.48
Vaishali,544472,66219,12.16
