District,KCC -NEW TARGET NO.,AMT,SANCTION NO.,Disbursed No.,AMT.,% Achievement No.,KCC-RENEW SANCTION NO.,Total No. of KCC,KCC DISBURSEMENT RABI AMT.,KHARIF AMT.,TOTAL AMT.,LANDLESS LABOUR/TENANT FARMER/ORAL LEESE NO.,(Rs. in lakh) KCC due for renewal NO.
Araria,21479,17182,6540,6254,6436,29.12,41323,47863,22568,21360,43928,140,51081
Arwal,7706,6164,1619,1607,1613,20.85,4419,6038,1536,2834,4370,146,4781
Aurangabad,24761,19807,5124,5107,5759,20.63,16926,22050,11089,8311,19400,529,42611
Banka,17702,14159,7190,6899,13018,38.97,26897,34087,17437,17716,35153,485,30688
Begusarai,28768,23013,7468,7276,15162,25.29,96513,103981,35689,32747,68436,283,108116
Bhagalpur,31034,24825,10716,10106,18228,32.56,33700,44416,29796,26219,56015,1264,39544
Bhojpur,27087,21667,3215,3200,3291,11.81,25780,28995,7001,11795,18796,237,29150
Buxar,19015,15210,2010,1976,2783,10.39,10325,12335,6232,7593,13825,304,12309
Darbhanga,24340,19471,2977,2958,2853,12.15,51116,54093,27808,27965,55773,272,53723
Gaya,31872,25495,4076,4026,8591,12.63,20730,24806,9384,10351,19735,346,24995
Gopalganj,24658,19725,2516,2496,4163,10.12,56781,59297,28856,30083,58939,270,64665
Jamui,15593,12474,1973,1918,2479,12.30,14055,16028,2622,4842,7464,121,16670
Jehanabad,9506,7604,4621,4618,3550,48.58,7336,11957,5033,3786,8819,135,7755
Kaimur (Bhabua),16630,13301,2869,2864,4235,17.22,13658,16527,8052,8255,16307,413,15920
Katihar,20316,16253,3430,3418,3671,16.82,40223,43653,22215,20346,42561,514,56621
Khagaria,15488,12389,3669,3533,3732,22.81,21349,25018,7745,9776,17521,98,58307
Kishanganj,10991,8791,3198,3092,2486,28.13,22777,25975,11554,10628,22182,160,29077
Lakhisarai,10935,8746,1733,1693,2638,15.48,11942,13675,3991,4941,8932,168,15921
Madhepura,14300,11439,7137,6958,6224,48.66,33755,40892,22855,15428,38283,793,43227
Madhubani,37867,30291,7896,7877,6887,20.80,88015,95911,38961,34252,73213,315,123740
Munger,13057,10445,4052,4049,8382,31.01,14868,18920,4827,11845,16672,160,17664
Muzaffarpur,41540,33229,15675,15667,30159,37.72,86587,102262,50431,57632,108063,1773,100259
Nalanda,31507,25205,2885,2646,2677,8.40,14366,17251,5511,7700,13211,577,24505
Nawada,20639,16508,1787,1786,3789,8.65,12689,14476,7464,7350,14814,302,25858
Pashchim Champaran,24774,19816,4440,4285,3285,17.30,44343,48783,19189,19627,38816,636,65344
Patna,57811,46246,7380,7320,11798,12.66,26595,33975,13329,17915,31244,434,39301
Purbi Champaran,33371,26695,6752,6733,6807,20.18,101473,108225,52895,45843,98738,377,129230
Purnia,21359,17085,6636,6627,6860,31.03,61662,68298,34071,36135,70206,1761,95661
Rohtas,26292,21033,3713,3300,4304,12.55,24544,28257,11796,11410,23206,481,29352
Saharsa,9543,7633,3081,2956,2918,30.98,29421,32502,13603,14627,28230,141,33162
Samastipur,41076,32858,7752,7294,5403,17.76,75636,83388,32161,25241,57402,269,108419
Saran,28994,23193,3957,3858,3279,13.31,47416,51373,25533,23444,48977,268,55424
Sheikhpura,8668,6933,2195,2176,1906,25.10,4915,7110,1997,2869,4866,130,5252
Sheohar,7042,5633,2244,2205,2667,31.31,19617,21861,16808,14512,31320,79,24226
Sitamarhi,27263,21809,8772,8762,6452,32.14,43858,52630,25138,25844,50982,303,55100
Siwan,28632,22904,4236,4217,4299,14.73,46766,51002,25910,26495,52405,435,53965
Supaul,14732,11783,3770,3757,4041,25.50,36306,40076,18147,16427,34574,317,49200
Vaishali,28736,22986,3926,3923,4416,13.65,58290,62216,29695,26372,56067,893,75155
