District,Col_1,Col_2,Col_3,Col_4
Araria,11,161,48,
Arwal,1,12,2,
Aurangabad,1,24,15,
Banka,0,11,,
Bhagalpur,4,,,
Buxar,32,,,
Darbhanga,53,36,,
Gaya,16,333,14,93
Gopalganj,9,,,
Jamui,109,,,
Jehanabad,1,17,,
Kaimur (Bhabua),2,17,,
Katihar,7,60,,
Khagaria,3,62,,
Kishanganj,7,64,,
Lakhisarai,0,,,
Madhepura,2,16,,
Munger,4,45,,
Muzaffarpur,18,276,10,
Nalanda,14,163,,
Nawada,6,106,,
Pashchim Champaran,2931,12,41,
Patna,7,377,1,
Purbi Champaran,45,53,,
Purnia,395,12,,
Rohtas,105,,,
Saharsa,43,315,,
Samastipur,30,6,,
Saran,57,,,
Sheikhpura,0,,,
Sheohar,1,4,,
Sitamarhi,10,7,111,0
Siwan,40,31,,
Supaul,27,,,
Vaishali,56,24,104,
