District,No of CSP/Bank Mitra Engaged,Tranaction details of BCAs No of Accounts opened during FY : 2021-22,Amount (amt in Lacs) during FY : 2021-22,No. of (Debit/Credit) transaction mad in the A/c during FY : 2021-22,Amount of transaction (Debit/Credit) made in the a/c during FY : 2021-22 (Amt. in Lacs),Cumulative Achievement upto : 31.03.2022 (since Inception) No. of Accounts Opened,Amt of Transactions (Debit/Credit) made in the A/C (Amt. in Lacs)
Araria,918,64348,5922,3771653,266520,896739,416928
Arwal,263,14295,2558,369930,26966,209118,236121
Aurangabad,846,69786,9224,1329900,75124,882728,665166
Banka,709,28433,742,2533238,122393,523488,150662
Begusarai,849,37567,1968,2904775,296763,696621,389943
Bhagalpur,934,50161,1766,2039465,105169,730424,314494
Bhojpur,1029,278345,9343,2430003,324030,1297610,1337477
Buxar,651,46040,4505,1486949,193581,605069,559163
Darbhanga,1261,87956,2525,3087073,167627,1286284,527243
Gaya,1380,131053,12254,2548583,134785,1604231,1434447
Gopalganj,906,73468,2376,4921811,248227,1218922,257233
Jamui,693,23306,1216,3133797,156118,448959,213718
Jehanabad,348,24985,2695,617366,28896,313278,329259
Kaimur (Bhabua),523,55053,5726,1187458,195237,529844,965120
Katihar,865,46630,1971,2470893,121864,1148477,260027
Khagaria,500,41706,702,1503261,102330,559346,365139
Kishanganj,558,47785,1261,2242761,222444,761489,311809
Lakhisarai,304,19779,1246,1075192,67341,317360,141260
Madhepura,646,32437,730,3137750,157887,801808,140250
Madhubani,1337,59789,4319,3988789,183734,1192359,404147
Munger,383,18501,1192,1644306,88159,370345,228613
Muzaffarpur,5823,97143,4243,4591747,188166,1652301,803431
Nalanda,1076,61484,6208,2328304,117350,957600,856899
Nawada,684,62682,4769,1819444,91440,905491,567271
Pashchim Champaran,1195,91367,2961,5727726,275267,1858826,512694
Patna,2922,125485,8997,2251447,176409,2272512,1440321
Purbi Champaran,1455,106049,4686,5983545,304198,1728500,434932
Purnia,1036,76921,1780,5038845,228186,1348872,327537
Rohtas,812,143021,6184,2236871,97343,1393727,1126926
Saharsa,709,27554,1728,2678417,111213,668045,250156
Samastipur,1363,82415,3082,4994744,260192,1571851,844707
Saran,1293,102737,3879,6162666,262773,1678717,383207
Sheikhpura,236,12198,791,864205,64492,230235,84322
Sheohar,248,18194,890,296631,18941,308723,265159
Sitamarhi,1100,64969,2507,2647235,148641,1178878,646896
Siwan,2787,74900,2810,3804143,177717,1517239,304228
Supaul,742,37750,2445,3248335,189251,762258,237210
Vaishali,1098,86386,2562,4097298,177303,1784492,388369
