district,fy_2021_22_no_of_flc_camps_conducted,fy_2022_23_no_of_flc_camps_conducted,fy_2023_24_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_flcs_in_district
Alipurduar,0.0,0.0,0.0,0.0,0.0
Bankura,48.0,189.0,702.0,23205.0,1.0
Birbhum,304.0,310.0,322.0,10593.0,1.0
Cooch Behar,122.0,135.0,149.0,4172.0,2.0
Darjeeling,87.0,69.0,102.0,5901.0,2.0
Hooghly,127.0,169.0,151.0,4205.0,1.0
Howrah,185.0,259.0,319.0,16800.0,2.0
Jalpaiguri,8.0,39.0,110.0,3012.0,1.0
Jhargram,40.0,56.0,48.0,2022.0,1.0
Kalimpong,0.0,5.0,41.0,2004.0,1.0
Kolkata,9.0,40.0,84.0,2148.0,1.0
Malda,32.0,38.0,42.0,4592.0,2.0
Murshidabad,18.0,62.0,85.0,3803.0,2.0
Nadia,94.0,101.0,94.0,8895.0,1.0
North 24 Parganas,55.0,104.0,198.0,9242.0,1.0
Paschim Bardhaman,27.0,41.0,133.0,3575.0,1.0
Paschim Medinipur,18.0,50.0,40.0,2372.0,1.0
Purba Bardhaman,29.0,43.0,116.0,5208.0,1.0
Purba Medinipur,371.0,36.0,58.0,2485.0,2.0
Purulia,53.0,74.0,86.0,2969.0,1.0
South 24 Parganas,50.0,62.0,84.0,2455.0,1.0
Uttar Dinajpur,149.0,104.0,788.0,19252.0,1.0
