district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_24_25,no_of_sponsored_application_in_fy_fy_24_25,sep_g_disbursed_no,sep_g_sanctioned_no,sep_i_disbursed_no,sep_i_sanctioned_no,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_24_25,target_amount_of_sep_i_loan_to_be_disbursed_fy_24_25,target_amount_of_shg_loan_to_be_disbursed_fy_24_25,target_fy_24_25,target_fy_fy_24_25
Alipurduar,0.0,1353.0,7.0,7.0,15.0,0.0,0.0,0.0,0.0,19.0,13.0,12.5,60.0,262.5,8.0,30.0
Bankura,2.21,2482.0,11.0,33.0,58.0,0.0,0.0,2.0,2.0,62.0,51.0,36.0,132.0,301.5,9.0,66.0
Birbhum,16.58,4163.0,19.0,66.0,96.0,3.0,4.0,15.0,15.0,74.0,73.0,76.0,370.0,936.0,18.0,185.0
Cooch Behar,15.48,1912.0,12.0,38.0,117.0,1.0,1.0,14.0,14.0,44.0,42.0,26.0,228.0,439.5,11.0,114.0
Dakshin Dinajpur,4.42,2083.0,5.0,9.0,49.0,0.0,0.0,4.0,4.0,24.0,29.0,24.0,100.0,436.5,7.0,50.0
Darjeeling,5.53,2681.0,0.0,5.0,41.0,1.0,1.0,5.0,5.0,37.0,39.0,32.0,190.0,691.5,10.0,95.0
Hooghly,8.84,7067.0,19.0,28.0,252.0,1.0,2.0,8.0,9.0,154.0,159.0,60.5,576.0,1543.5,25.0,288.0
Howrah,0.0,1746.0,6.0,6.0,110.0,0.0,0.0,0.0,0.0,39.0,39.0,28.0,170.0,598.5,8.0,85.0
Jalpaiguri,0.0,2113.0,3.0,3.0,201.0,0.0,0.0,0.0,0.0,110.0,99.0,16.5,156.0,381.0,7.0,78.0
Jhargram,0.0,541.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,30.0,91.5,2.0,15.0
Kalimpong,0.0,218.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,112.5,5.0,20.0
Kolkata,0.0,1829.0,5.0,5.0,255.0,0.0,0.0,0.0,0.0,104.0,113.0,50.0,238.0,390.0,5.0,119.0
Malda,0.0,1104.0,1.0,1.0,56.0,1.0,1.0,0.0,0.0,24.0,23.0,18.0,92.0,310.5,6.0,46.0
Murshidabad,51.96,6391.0,2.0,31.0,159.0,0.0,0.0,47.0,48.0,85.0,89.0,103.5,406.0,1366.5,24.0,203.0
Nadia,13.27,6842.0,0.0,13.0,122.0,0.0,0.0,12.0,15.0,136.0,186.0,66.5,492.0,1543.5,23.0,246.0
North 24 Parganas,56.39,17461.0,26.0,101.0,672.0,0.0,1.0,51.0,50.0,407.0,433.0,168.5,1200.0,4305.0,58.0,600.0
Paschim Bardhaman,0.0,2859.0,21.0,44.0,259.0,0.0,3.0,0.0,0.0,127.0,108.0,16.8,200.0,855.0,9.0,100.0
Paschim Medinipur,18.8,4629.0,5.0,24.0,103.0,0.0,2.0,17.0,19.0,86.0,84.0,48.5,314.0,667.5,19.0,157.0
Purba Bardhaman,4.42,3943.0,11.0,16.0,80.0,0.0,0.0,4.0,5.0,67.0,60.0,40.5,276.0,640.5,10.0,138.0
Purba Medinipur,5.53,3698.0,7.0,12.0,83.0,2.0,2.0,5.0,5.0,44.0,45.0,39.0,252.0,352.5,15.0,126.0
Purulia,0.0,1305.0,4.0,4.0,34.0,0.0,0.0,0.0,0.0,14.0,14.0,9.0,120.0,285.0,4.0,60.0
South 24 Parganas,7.74,4276.0,6.0,13.0,131.0,0.0,0.0,7.0,7.0,96.0,80.0,33.0,270.0,1111.5,10.0,135.0
Uttar Dinajpur,5.53,2560.0,3.0,8.0,89.0,0.0,0.0,5.0,5.0,62.0,64.0,47.5,192.0,600.0,26.0,96.0
