district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,738.49,1762.16,649.8,23.82,688.36,3100.32
Bankura,1539.78,5333.79,4912.61,13.29,1339.79,11586.18
Birbhum,2310.38,6045.0,4107.35,19.91,1449.72,11602.07
Cooch Behar,1833.69,5227.38,2565.0,18.66,2032.71,9825.09
Dakshin Dinajpur,1007.05,5353.97,4564.01,9.19,1038.87,10956.85
Darjeeling,3952.48,1160.81,3450.0,69.98,1037.12,5647.92
Hooghly,3702.19,5777.09,5615.4,28.26,1709.69,13102.18
Howrah,4678.39,2706.6,16000.0,23.52,1185.31,19891.91
Jalpaiguri,2246.72,3178.76,3109.1,29.97,1208.8,7496.66
Jhargram,538.26,3044.78,2432.48,8.46,886.68,6363.93
Kalimpong,139.98,359.72,364.02,16.65,117.19,840.93
Kolkata,49438.45,696.83,25000.0,153.76,6456.58,32153.4
Malda,2814.49,7000.12,3652.32,19.47,3799.51,14451.95
Murshidabad,2982.09,10367.53,8398.15,13.51,3308.59,22074.27
Nadia,2636.81,7571.87,9075.37,14.05,2124.11,18771.35
North 24 Parganas,7079.84,5175.9,16000.0,27.73,4358.45,25534.35
Paschim Bardhaman,3475.07,415.69,7739.57,39.62,615.94,8771.2
Purba Bardhaman,3225.39,9670.7,6437.55,17.84,1974.6,18082.85
Purba Medinipur,3780.3,8403.42,5902.98,22.48,2512.79,16819.19
Purulia,991.21,4620.62,3949.51,9.49,1869.27,10439.4
South 24 Parganas,2994.19,5996.09,11106.44,15.28,2497.78,19600.31
Uttar Dinajpur,2285.72,4510.81,1395.13,31.25,1407.29,7313.22
