district,31_03_2022_brick_morter_branch,31_03_2023_brick_morter_branch,31_03_2024_brick_morter_branch,atm,bc_outlets
Alipurduar,140.0,138.0,146.0,130.0,1621.0
Bankura,292.0,287.0,295.0,250.0,3660.0
Birbhum,338.0,336.0,341.0,285.0,10657.0
Cooch Behar,298.0,292.0,301.0,220.0,2653.0
Dakshin Dinajpur,147.0,147.0,151.0,119.0,1607.0
Darjeeling,304.0,285.0,307.0,500.0,4892.0
Hooghly,593.0,580.0,609.0,624.0,3618.0
Howrah,543.0,528.0,558.0,708.0,7134.0
Jalpaiguri,256.0,254.0,263.0,332.0,3676.0
Jhargram,95.0,93.0,94.0,75.0,841.0
Kalimpong,37.0,35.0,40.0,128.0,376.0
Kolkata,1463.0,1578.0,1533.0,2331.0,97765.0
Malda,292.0,285.0,304.0,259.0,16508.0
Murshidabad,538.0,521.0,548.0,577.0,11289.0
Nadia,503.0,490.0,517.0,666.0,16334.0
North 24 Parganas,1073.0,1148.0,1120.0,1619.0,19460.0
Paschim Bardhaman,387.0,365.0,401.0,486.0,3709.0
Paschim Medinipur,445.0,401.0,431.0,332.0,12514.0
Purba Bardhaman,463.0,492.0,509.0,389.0,12938.0
Purba Medinipur,421.0,410.0,430.0,419.0,3217.0
Purulia,193.0,185.0,200.0,209.0,1750.0
South 24 Parganas,682.0,699.0,680.0,1031.0,5928.0
Uttar Dinajpur,234.0,224.0,236.0,203.0,3909.0
