district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,649962.0,62265.0,175448.0,412249.0,600259.0
Bankura,1791005.0,187953.0,399764.0,1203288.0,2291575.0
Birbhum,2298770.0,241052.0,631557.0,1426161.0,2400430.0
Cooch Behar,1511938.0,190133.0,373741.0,948064.0,1671158.0
Dakshin Dinajpur,936601.0,98565.0,234787.0,603249.0,1227448.0
Darjeeling,1147938.0,107541.0,331032.0,709365.0,651335.0
Hooghly,2588015.0,309147.0,615198.0,1663670.0,2459658.0
Howrah,2042598.0,233970.0,482716.0,1325912.0,2104742.0
Jalpaiguri,1544264.0,183127.0,409357.0,951780.0,1572588.0
Jhargram,474200.0,39666.0,114762.0,319772.0,480975.0
Kalimpong,68749.0,6295.0,20140.0,42314.0,32110.0
Kolkata,2487526.0,208114.0,510409.0,1769003.0,976011.0
Malda,2205112.0,284618.0,542724.0,1377770.0,3424350.0
Murshidabad,3945625.0,481936.0,946337.0,2517352.0,4687955.0
Nadia,2538671.0,288022.0,574333.0,1676316.0,3172662.0
North 24 Parganas,4157435.0,446422.0,944643.0,2766370.0,4593189.0
Paschim Bardhaman,1681066.0,67296.0,401576.0,1212194.0,1545849.0
Paschim Medinipur,2245668.0,277471.0,510920.0,1457277.0,2712736.0
Purba Bardhaman,1799093.0,304402.0,543138.0,951553.0,2279148.0
Purba Medinipur,2360403.0,361722.0,516439.0,1482242.0,2629010.0
Purulia,1309930.0,139160.0,315715.0,855055.0,2085780.0
South 24 Parganas,3480615.0,371508.0,779280.0,2329827.0,5114934.0
Uttar Dinajpur,1383201.0,163851.0,341800.0,877550.0,2729968.0
