district,female_a_c,male_a_c,rural_a_c,total_a_c,total_deposit,urban_a_c,zero_balance_account
Alipurduar,342164.0,258095.0,394122.0,600259.0,279.61,206137.0,35895.0
Bankura,1271633.0,1019942.0,1978506.0,2291575.0,1267.43,313069.0,126296.0
Birbhum,1373797.0,1026633.0,1933656.0,2400430.0,1050.32,466774.0,146807.0
Cooch Behar,934274.0,736884.0,1201626.0,1671158.0,516.01,469532.0,97229.0
Dakshin Dinajpur,697569.0,529879.0,999007.0,1227448.0,426.09,228441.0,77264.0
Darjeeling,383045.0,268290.0,305370.0,651335.0,386.56,345965.0,40269.0
Hooghly,1458675.0,1000983.0,1683922.0,2459658.0,1285.61,775736.0,115198.0
Howrah,1236454.0,868288.0,1385604.0,2104742.0,1026.35,719138.0,93157.0
Jalpaiguri,903349.0,669239.0,1047817.0,1572588.0,652.35,524771.0,101690.0
Jhargram,266304.0,214671.0,448559.0,480975.0,278.19,32416.0,23029.0
Kalimpong,17726.0,14384.0,19318.0,32110.0,22.97,12792.0,1325.0
Kolkata,542149.0,433862.0,7398.0,976011.0,412.37,968613.0,93669.0
Malda,1952939.0,1471411.0,2941860.0,3424350.0,1264.19,482490.0,292192.0
Murshidabad,2634671.0,2053284.0,3468586.0,4687955.0,1649.25,1219369.0,315537.0
Nadia,1815626.0,1357036.0,2142447.0,3172662.0,1330.46,1030215.0,213162.0
North 24 Parganas,2661523.0,1931666.0,2694381.0,4593189.0,2175.21,1898808.0,241152.0
Paschim Bardhaman,1017071.0,528778.0,892296.0,1545849.0,563.13,653553.0,94682.0
Paschim Medinipur,1567611.0,1145125.0,2227105.0,2712736.0,1444.19,485631.0,118383.0
Purba Bardhaman,1354945.0,924203.0,1739405.0,2279148.0,954.74,539743.0,79755.0
Purba Medinipur,1470940.0,1158070.0,2411307.0,2629010.0,1440.03,217703.0,114348.0
Purulia,1137665.0,948115.0,1740782.0,2085780.0,1162.82,344998.0,144450.0
South 24 Parganas,2927256.0,2187678.0,4346749.0,5114934.0,2201.83,768185.0,344698.0
Uttar Dinajpur,1531520.0,1198448.0,2140233.0,2729968.0,721.27,589735.0,237580.0
