district,31_03_2023,31_03_2024,average_ticket_size_31_03_2022,outstanding_as_on_31_03_2022
Alipurduar,2.23,2.7,1.76,20417.0
Bankura,1.7,1.85,1.86,40098.0
Birbhum,1.9,2.11,1.66,61911.0
Cooch Behar,2.52,3.1,2.0,50568.0
Dakshin Dinajpur,1.64,1.91,1.39,21755.0
Darjeeling,2.57,3.06,4.14,16970.0
Hooghly,1.98,2.32,1.58,41732.0
Howrah,2.07,2.29,1.87,33601.0
Jalpaiguri,2.35,2.69,1.85,33659.0
Jhargram,1.75,2.14,1.57,14067.0
Kalimpong,2.9,3.59,2.05,3031.0
Kolkata,1.31,1.26,0.51,1679.0
Malda,1.72,1.98,1.52,52044.0
Murshidabad,1.53,1.77,1.24,75449.0
Nadia,1.57,1.89,1.41,42119.0
North 24 Parganas,1.71,1.95,1.41,59040.0
Paschim Medinipur,2.06,2.58,1.7,55852.0
Purba Medinipur,2.82,3.35,2.18,70518.0
Purulia,1.28,1.44,1.7,20854.0
South 24 Parganas,1.73,2.04,1.89,60857.0
Uttar Dinajpur,1.72,2.08,1.76,33534.0
