district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,proposals_sponsored_generated_in_msme_cluster_no
Alipurduar,0.0,571.0,349.0,0.0,639.0,416.0,0.0,1114.0
Bankura,1.63,136.0,45.0,70.0,136.0,45.0,70.0,136.0
Birbhum,0.0,1663.0,0.0,0.0,1663.0,0.0,0.0,1835.0
Cooch Behar,22.46,373.0,355.0,225.0,405.0,625.0,521.0,515.0
Dakshin Dinajpur,0.29,31.0,21.0,19.0,36.0,33.0,23.0,92.0
Darjeeling,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0
Hooghly,0.0,94.0,135.0,0.0,94.0,135.0,0.0,94.0
Howrah,0.1,171.0,13.0,5.0,171.0,13.0,5.0,171.0
Jhargram,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0
Kalimpong,0.0,14.0,0.0,0.0,14.0,0.0,0.0,44.0
Kolkata,0.3,28.0,0.0,52.0,28.0,0.0,52.0,134.0
Malda,0.06,59.0,97.0,11.0,68.0,188.0,11.0,157.0
Murshidabad,0.0,125.0,494.0,0.0,135.0,578.0,0.0,138.0
Nadia,17.2,1200.0,950.0,80.0,1235.0,1000.0,90.0,1995.0
North 24 Parganas,10.04,143.0,0.0,54.0,160.0,0.0,57.0,226.0
Paschim Bardhaman,0.0,34.0,0.0,0.0,34.0,0.0,0.0,34.0
Paschim Medinipur,132.66,297.0,44.0,3863.0,306.0,44.0,3882.0,1888.0
Purba Bardhaman,1.62,17.0,331.0,100.0,27.0,341.0,100.0,68.0
Purba Medinipur,0.0,101.0,1074.0,0.0,101.0,1074.0,0.0,125.0
Purulia,4.59,231.0,9.0,220.0,259.0,9.0,234.0,302.0
South 24 Parganas,0.0,70.0,0.0,0.0,76.0,0.0,0.0,122.0
Uttar Dinajpur,0.0,2355.0,58.0,0.0,2355.0,58.0,0.0,2413.0
