district,amount,average_disbursement_amount_in_lakh,disbursement_no,of_achievement_no,outstanding_no,sanction_no,target_2024_25_no
Alipurduar,29.66,1.44,11798.0,103.86,23012.0,2343.0,11359.0
Bankura,14.65,1.61,12644.0,36.89,58325.0,4461.0,34275.0
Birbhum,20.19,2.67,14851.0,30.43,67270.0,7668.0,48800.0
Cooch Behar,30.94,1.25,33561.0,127.49,54807.0,5716.0,26325.0
Dakshin Dinajpur,16.66,1.04,9873.0,60.85,26215.0,1955.0,16225.0
Darjeeling,31.75,2.09,4001.0,66.25,7483.0,1047.0,6039.0
Hooghly,29.59,1.67,21974.0,70.52,50553.0,6016.0,31160.0
Howrah,23.58,1.99,13594.0,45.48,37640.0,3889.0,29888.0
Jalpaiguri,30.74,1.57,18895.0,91.92,37144.0,2914.0,20557.0
Jhargram,20.96,2.0,5648.0,41.84,18869.0,4139.0,13500.0
Kalimpong,45.34,2.38,2154.0,75.18,3400.0,569.0,2865.0
Kolkata,100.0,1.15,338.0,100.0,3222.0,0.0,0.0
Malda,17.15,1.08,19929.0,62.28,59891.0,5403.0,31998.0
Murshidabad,16.35,1.26,23329.0,65.73,82658.0,8290.0,35493.0
Nadia,20.59,1.29,18216.0,56.42,61377.0,4685.0,32284.0
North 24 Parganas,17.81,1.2,26604.0,55.86,75214.0,6345.0,47629.0
Paschim Bardhaman,17.61,2.39,2569.0,22.61,11518.0,1339.0,11361.0
Paschim Medinipur,25.92,2.58,18869.0,38.27,64834.0,7369.0,49304.0
Purba Bardhaman,26.67,2.79,17998.0,38.71,62468.0,7531.0,46500.0
Purba Medinipur,22.99,3.01,23163.0,43.47,79480.0,8777.0,53285.0
Purulia,14.7,1.24,8850.0,38.15,40490.0,3343.0,23200.0
South 24 Parganas,24.91,1.53,31963.0,66.67,83987.0,7055.0,47942.0
Uttar Dinajpur,24.96,1.17,14433.0,79.76,40331.0,4006.0,18096.0
