district,cd_ratio_as_on_june_2023,cd_ratio_as_on_june_2024
Alipurduar,64.59,61.62
Bankura,53.7,55.01
Birbhum,47.54,50.37
Cooch Behar,80.41,78.64
Dakshin Dinajpur,63.74,62.71
Darjeeling,62.03,67.58
Hooghly,41.95,44.0
Howrah,47.2,49.43
Jalpaiguri,67.49,75.52
Jhargram,43.03,45.57
Kalimpong,49.17,60.81
Kolkata,64.72,103.17
Malda,60.78,59.06
Murshidabad,55.77,57.33
Nadia,50.11,50.97
North 24 Parganas,40.66,45.28
Paschim Bardhaman,46.96,52.83
Paschim Medinipur,48.4,48.47
Purba Bardhaman,55.17,56.04
Purba Medinipur,45.91,52.76
Purulia,48.88,50.26
South 24 Parganas,45.06,45.54
Uttar Dinajpur,64.38,68.85
