district,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,61.34,1746.0,61.72,5216.0,320.0,7282.0
Bankura,128.4,3227.0,131.69,9868.0,635.0,13730.0
Birbhum,278.58,9182.0,282.18,13829.0,878.0,23889.0
Cooch Behar,84.35,1758.0,88.77,4606.0,538.0,6902.0
Dakshin Dinajpur,69.9,2686.0,71.61,5058.0,296.0,8040.0
Howrah,312.21,10265.0,323.63,26205.0,964.0,37434.0
Jalpaiguri,143.32,4705.0,148.73,7159.0,825.0,12689.0
Jhargram,45.61,1437.0,46.16,3686.0,220.0,5343.0
Kalimpong,6.56,105.0,6.73,220.0,44.0,369.0
Kolkata,631.76,19246.0,661.02,23007.0,2900.0,45153.0
Malda,160.6,6622.0,163.15,13805.0,652.0,21079.0
Murshidabad,548.63,30526.0,563.08,45047.0,1695.0,77268.0
Nadia,295.64,11026.0,307.01,25473.0,1268.0,37767.0
North 24 Parganas,524.81,18297.0,568.44,43153.0,2478.0,63928.0
Paschim Medinipur,278.71,6002.0,288.98,16377.0,1822.0,24201.0
Purba Bardhaman,208.14,6530.0,209.61,16717.0,914.0,24161.0
Purba Medinipur,321.32,10653.0,330.7,17707.0,1907.0,30267.0
South 24 Parganas,302.75,8706.0,316.07,25525.0,1309.0,35540.0
Uttar Dinajpur,103.45,2970.0,106.75,6487.0,560.0,10017.0
