district,31_03_2023,31_03_2024,amount,during_fy_2022_23,during_fy_2023_24,kcc_disbursement_during_01_04_2024_to_30_06_2024_fresh_renewal_no,kcc_disbursement_during_fy_2021_22,kcc_outstanding_31_03_2022,kcc_outstanding_as_on_30_06_2024_no,of_achievement_no,target_no
Alipurduar,94402.0,65151.0,541.47,31573.0,26435.0,7290.0,24782.0,47003.0,77213.0,18.94,38500.0
Bankura,174432.0,198842.0,846.87,169126.0,120035.0,17891.0,151205.0,165474.0,198813.0,9.04,198000.0
Birbhum,245080.0,244111.0,928.8,89665.0,118294.0,24184.0,201149.0,228706.0,253425.0,10.08,240000.0
Cooch Behar,162231.0,170478.0,1593.14,154180.0,80545.0,21045.0,158373.0,200143.0,183911.0,11.08,190000.0
Dakshin Dinajpur,107952.0,99754.0,577.21,84311.0,51629.0,21444.0,77537.0,110792.0,146034.0,18.65,115000.0
Darjeeling,24510.0,22170.0,265.13,11395.0,15592.0,4076.0,17604.0,26325.0,32286.0,22.03,18500.0
Hooghly,329980.0,316589.0,1826.37,304544.0,271942.0,47218.0,266969.0,321789.0,328892.0,11.95,395000.0
Howrah,86541.0,68078.0,303.32,39460.0,56083.0,12323.0,41642.0,75783.0,73048.0,12.97,95000.0
Jalpaiguri,96900.0,110218.0,813.08,44124.0,51369.0,10252.0,25647.0,80373.0,82394.0,25.63,40000.0
Jhargram,72664.0,119389.0,263.95,31725.0,67437.0,3670.0,38419.0,80955.0,44443.0,6.67,55000.0
Kalimpong,8610.0,13429.0,175.17,3183.0,10020.0,17776.0,9041.0,11031.0,65723.0,177.76,10000.0
Kolkata,437.0,1587.0,199.62,1015.0,1197.0,614.0,0.0,0.0,2071.0,,0.0
Malda,144897.0,136389.0,662.84,62769.0,129634.0,19839.0,171364.0,126930.0,142045.0,18.04,110000.0
Murshidabad,162166.0,210027.0,1479.98,62385.0,64846.0,23822.0,73973.0,126729.0,308807.0,25.08,95000.0
Nadia,214802.0,272055.0,1339.36,87548.0,125385.0,28557.0,64240.0,197820.0,225036.0,25.96,110000.0
Paschim Bardhaman,14714.0,92696.0,674.66,14136.0,66702.0,17037.0,14792.0,14501.0,141871.0,68.15,25000.0
Paschim Medinipur,380758.0,317981.0,1581.56,291083.0,253359.0,84479.0,267316.0,370792.0,359880.0,34.48,245000.0
Purba Bardhaman,458845.0,264391.0,1623.7,313123.0,139972.0,28063.0,289429.0,557957.0,274941.0,10.02,280000.0
Purba Medinipur,593003.0,430227.0,2333.35,547833.0,421639.0,317824.0,560331.0,557064.0,656024.0,42.38,750000.0
Purulia,116348.0,106247.0,498.63,29036.0,33303.0,23213.0,51254.0,108514.0,131066.0,66.32,35000.0
Uttar Dinajpur,246008.0,205762.0,518.45,43759.0,51131.0,13176.0,47316.0,289343.0,147848.0,23.96,55000.0
