district,aapb_achieved_in_current_fy_2024_25_34,aapb_target_370,annual_target_74515,annual_target_achievement_in_current_fy_2024_25_20,apy_accounts_opened_in_current_fy_2024_25_14884,no_of_branches_916
Alipurduar,72.0,390.0,5580.0,36.0,2031.0,74.0
Bankura,61.0,350.0,22230.0,38.0,8430.0,255.0
Birbhum,60.0,350.0,23440.0,39.0,9255.0,276.0
Cooch Behar,48.0,390.0,17150.0,30.0,5160.0,215.0
Dakshin Dinajpur,68.0,350.0,9060.0,39.0,3493.0,109.0
Darjeeling,26.0,390.0,20070.0,13.0,2674.0,249.0
Hooghly,56.0,350.0,40915.0,29.0,11845.0,493.0
Howrah,32.0,350.0,34760.0,18.0,6319.0,422.0
Jalpaiguri,56.0,370.0,18930.0,25.0,4768.0,233.0
Jhargram,61.0,350.0,5430.0,33.0,1765.0,62.0
Kalimpong,10.0,285.0,1865.0,6.0,105.0,22.0
Kolkata,13.0,280.0,103445.0,6.0,5853.0,1341.0
Malda,70.0,350.0,19055.0,43.0,8186.0,224.0
Murshidabad,89.0,350.0,33765.0,44.0,14892.0,399.0
Nadia,52.0,350.0,30735.0,31.0,9473.0,378.0
Paschim Bardhaman,16.0,280.0,17785.0,14.0,2421.0,234.0
Paschim Medinipur,58.0,370.0,32380.0,27.0,8838.0,388.0
Purba Bardhaman,40.0,370.0,44975.0,22.0,9931.0,558.0
Purba Medinipur,69.0,370.0,28500.0,35.0,10117.0,354.0
Purulia,61.0,350.0,14705.0,38.0,5557.0,172.0
Uttar Dinajpur,59.0,350.0,12590.0,36.0,4473.0,155.0
