district,female_a_c,male_a_c,rural_a_c,sr_no_1,total_a_c,total_deposit,total_enrolment_uner_social_security_schemes,total_no_of_apy_4,total_no_of_pmjjby_9,total_no_of_pmsby,total_no_pmjdy_a_c,urban_a_c,No. of Zero Balance A/C
Alipurduar,342164.0,258095.0,394122.0,3.0,600259.0,279.61,649962.0,62265.0,175448.0,412249.0,600259.0,206137.0,35895.0
Bankura,1271633.0,1019942.0,1978506.0,4.0,2291575.0,1267.43,1791005.0,187953.0,399764.0,1203288.0,2291575.0,313069.0,126296.0
Birbhum,1373797.0,1026633.0,1933656.0,5.0,2400430.0,1050.32,2298770.0,241052.0,631557.0,1426161.0,2400430.0,466774.0,146807.0
Cooch Behar,934274.0,736884.0,1201626.0,6.0,1671158.0,516.01,1511938.0,190133.0,373741.0,948064.0,1671158.0,469532.0,97229.0
Darjeeling,383045.0,268290.0,305370.0,7.0,651335.0,386.56,1147938.0,107541.0,331032.0,709365.0,651335.0,345965.0,40269.0
Hooghly,1458675.0,1000983.0,1683922.0,10.0,2459658.0,1285.61,2588015.0,309147.0,615198.0,1663670.0,2459658.0,775736.0,115198.0
Howrah,1236454.0,868288.0,1385604.0,11.0,2104742.0,1026.35,2042598.0,233970.0,482716.0,1325912.0,2104742.0,719138.0,93157.0
Jalpaiguri,903349.0,669239.0,1047817.0,12.0,1572588.0,652.35,1544264.0,183127.0,409357.0,951780.0,1572588.0,524771.0,101690.0
Jhargram,266304.0,214671.0,448559.0,13.0,480975.0,278.19,474200.0,39666.0,114762.0,319772.0,480975.0,32416.0,23029.0
Kalimpong,17726.0,14384.0,19318.0,14.0,32110.0,22.97,68749.0,6295.0,20140.0,42314.0,32110.0,12792.0,1325.0
Kolkata,542149.0,433862.0,7398.0,15.0,976011.0,412.37,2487526.0,208114.0,510409.0,1769003.0,976011.0,968613.0,93669.0
Malda,1952939.0,1471411.0,2941860.0,16.0,3424350.0,1264.19,2205112.0,284618.0,542724.0,1377770.0,3424350.0,482490.0,292192.0
Murshidabad,2634671.0,2053284.0,3468586.0,19.0,4687955.0,1649.25,3945625.0,481936.0,946337.0,2517352.0,4687955.0,1219369.0,315537.0
Nadia,1815626.0,1357036.0,2142447.0,20.0,3172662.0,1330.46,2538671.0,288022.0,574333.0,1676316.0,3172662.0,1030215.0,213162.0
Paschim Bardhaman,1017071.0,528778.0,892296.0,21.0,1545849.0,563.13,1681066.0,67296.0,401576.0,1212194.0,1545849.0,653553.0,94682.0
Purba Bardhaman,1354945.0,924203.0,1739405.0,22.0,2279148.0,954.74,1799093.0,304402.0,543138.0,951553.0,2279148.0,539743.0,79755.0
Purulia,1137665.0,948115.0,1740782.0,23.0,2085780.0,1162.82,1309930.0,139160.0,315715.0,855055.0,2085780.0,344998.0,144450.0
