district,1_year_and_above_no,6_months_to_1_year_no,above_60_day_below_6_months_no,amt_in_cr,pending_below_60_days_no,total_pending_no
Alipurduar,3.0,3.0,2.0,40.37,0.0,8.0
Bankura,38.0,9.0,2.0,15.66,0.0,49.0
Birbhum,63.0,46.0,21.0,31.44,2.0,132.0
Cooch Behar,21.0,16.0,27.0,33.25,14.0,78.0
Dakshin Dinajpur,31.0,9.0,3.0,4.91,4.0,47.0
Darjeeling,36.0,14.0,7.0,49.52,4.0,61.0
Hooghly,161.0,81.0,67.0,151.55,28.0,337.0
Howrah,169.0,89.0,32.0,207.14,38.0,328.0
Jalpaiguri,19.0,17.0,11.0,19.42,4.0,51.0
Jhargram,4.0,2.0,1.0,0.79,0.0,7.0
Kalimpong,0.0,4.0,0.0,0.85,0.0,4.0
Kolkata,340.0,127.0,22.0,316.25,47.0,536.0
Malda,51.0,5.0,4.0,45.59,0.0,60.0
Murshidabad,81.0,18.0,8.0,50.01,5.0,112.0
Nadia,73.0,45.0,4.0,82.83,7.0,129.0
Paschim Bardhaman,91.0,35.0,8.0,80.24,14.0,148.0
Paschim Medinipur,73.0,31.0,16.0,55.07,0.0,120.0
Purba Bardhaman,201.0,45.0,57.0,85.8,38.0,341.0
Purba Medinipur,67.0,24.0,19.0,27.65,2.0,112.0
Purulia,14.0,5.0,15.0,21.05,0.0,34.0
Uttar Dinajpur,40.0,6.0,4.0,12.05,0.0,50.0
