district,31_03_2022,31_03_2023,31_03_2024,advance,cd_ratio,cd_ratio_as_on_june_2023,cd_ratio_as_on_june_2024,cd_ratio_as_on_june_2024_deposit
Alipurduar,47.64,63.23,54.85,4604.6,61.62,64.59,61.62,7472.99
Bankura,49.25,52.4,54.94,11807.46,55.01,53.7,55.01,21466.0
Birbhum,49.99,47.59,53.5,11036.7,50.37,47.54,50.37,21910.18
Cooch Behar,79.49,79.37,80.39,9623.15,78.64,80.41,78.64,12237.52
Dakshin Dinajpur,61.85,62.23,62.42,3865.37,62.71,63.74,62.71,6163.67
Darjeeling,57.59,65.19,67.55,17135.18,67.58,62.03,67.58,25357.07
Hooghly,36.26,41.9,45.76,26493.19,44.0,41.95,44.0,60207.85
Howrah,46.26,49.33,49.14,27990.4,49.43,47.2,49.43,56622.55
Jalpaiguri,63.33,68.7,93.16,9528.14,75.52,67.49,75.52,12617.12
Jhargram,40.92,42.19,47.39,2199.61,45.57,43.03,45.57,4827.08
Kalimpong,44.6,50.54,60.77,1352.29,60.81,49.17,60.81,2223.8
Kolkata,61.61,64.15,98.7,388205.86,103.17,64.72,103.17,376279.57
Malda,57.31,60.43,58.84,8472.54,59.06,60.78,59.06,14345.95
Murshidabad,44.02,52.27,57.06,17926.43,57.33,55.77,57.33,31267.75
Nadia,50.25,50.02,50.75,15584.0,50.97,50.11,50.97,30575.0
Paschim Bardhaman,42.58,46.31,52.49,26161.92,52.83,46.96,52.83,49520.09
Paschim Medinipur,46.95,49.32,51.4,17590.91,48.47,48.4,48.47,36295.7
Purba Bardhaman,51.28,51.89,53.5,20458.73,56.04,55.17,56.04,36510.24
Purba Medinipur,45.83,47.39,50.82,19179.42,52.76,45.91,52.76,36349.79
Purulia,48.61,48.84,49.34,5997.92,50.26,48.88,50.26,11933.93
Uttar Dinajpur,60.6,61.17,65.29,6387.1,68.85,64.38,68.85,9277.09
