district,advance,cd_ratio,cd_ratio_as_on_june_2023,cd_ratio_as_on_june_2024_deposit
Alipurduar,4604.6,61.62,64.59,7472.99
Bankura,11807.46,55.01,53.7,21466.0
Birbhum,11036.7,50.37,47.54,21910.18
Cooch Behar,9623.15,78.64,80.41,12237.52
Dakshin Dinajpur,3865.37,62.71,63.74,6163.67
Darjeeling,17135.18,67.58,62.03,25357.07
Hooghly,26493.19,44.0,41.95,60207.85
Howrah,27990.4,49.43,47.2,56622.55
Jalpaiguri,9528.14,75.52,67.49,12617.12
Jhargram,2199.61,45.57,43.03,4827.08
Kalimpong,1352.29,60.81,49.17,2223.8
Kolkata,388205.86,103.17,64.72,376279.57
Malda,8472.54,59.06,60.78,14345.95
Murshidabad,17926.43,57.33,55.77,31267.75
Nadia,15584.0,50.97,50.11,30575.0
North 24 Parganas,89593.05,45.28,40.66,197855.55
Paschim Bardhaman,26161.92,52.83,46.96,49520.09
Paschim Medinipur,17590.91,48.47,48.4,36295.7
Purba Bardhaman,20458.73,56.04,55.17,36510.24
Purba Medinipur,19179.42,52.76,45.91,36349.79
Purulia,5997.92,50.26,48.88,11933.93
South 24 Parganas,32145.6,45.54,45.06,70581.68
Uttar Dinajpur,6387.1,68.85,64.38,9277.09
