district,31_03_2023,31_03_2024,district_wise_enrolment_under_pmjjby_31_03_2022,district_wise_enrolment_under_pmsby_31_03_2022
Alipurduar,312684.0,401271.0,92335.0,254468.0
Bankura,904236.0,1169984.0,184092.0,724578.0
Birbhum,1063257.0,1383097.0,324888.0,786765.0
Cooch Behar,694385.0,923746.0,192156.0,553391.0
Dakshin Dinajpur,454991.0,585891.0,109714.0,367446.0
Hooghly,1227327.0,1621794.0,318809.0,970377.0
Howrah,977661.0,1294970.0,266654.0,752008.0
Jalpaiguri,709929.0,928479.0,215252.0,539529.0
Kolkata,1418927.0,1744580.0,360356.0,1244283.0
Malda,1056316.0,1338369.0,266737.0,871168.0
Murshidabad,1942267.0,2437045.0,387938.0,1526296.0
Nadia,1312729.0,1626913.0,253782.0,1035967.0
North 24 Parganas,2178226.0,2699258.0,492096.0,1730623.0
Paschim Medinipur,1435593.0,1732932.0,304237.0,1121609.0
Purba Bardhaman,1541792.0,2065731.0,450465.0,1296008.0
Purba Medinipur,1187485.0,1447789.0,243593.0,931000.0
Purulia,545598.0,828617.0,144659.0,440114.0
South 24 Parganas,1440619.0,2195664.0,344576.0,1166588.0
Uttar Dinajpur,650491.0,852988.0,162433.0,530374.0
