district,amount,mm_claimed_no,mm_disbursed_no,of_achievement_mm_disbursed_no,returned_no,sanctioned_no,sponsored_in_fy_2024_25_no,target_for_2024_25_no
Alipurduar,0.0,18.0,0.0,0.0,1.0,18.0,32.0,95.0
Bankura,0.0,5.0,0.0,0.0,14.0,12.0,29.0,82.0
Birbhum,2.23,34.0,2.0,1.83,8.0,26.0,69.0,109.0
Cooch Behar,0.74,32.0,1.0,0.97,10.0,14.0,53.0,103.0
Dakshin Dinajpur,0.0,9.0,0.0,0.0,1.0,6.0,11.0,86.0
Darjeeling,0.0,20.0,0.0,0.0,1.0,9.0,31.0,82.0
Hooghly,0.41,22.0,1.0,1.28,10.0,13.0,44.0,78.0
Howrah,0.0,35.0,0.0,0.0,3.0,17.0,42.0,102.0
Jalpaiguri,0.92,17.0,1.0,1.05,4.0,20.0,44.0,95.0
Kalimpong,1.49,7.0,1.0,1.16,2.0,4.0,12.0,86.0
Kolkata,0.0,5.0,0.0,0.0,14.0,1.0,38.0,82.0
Malda,1.49,30.0,1.0,1.19,6.0,3.0,62.0,84.0
Murshidabad,4.19,38.0,6.0,5.77,32.0,37.0,93.0,104.0
Nadia,2.64,9.0,2.0,2.44,9.0,20.0,46.0,82.0
Paschim Bardhaman,0.0,1.0,0.0,0.0,3.0,0.0,8.0,88.0
Paschim Medinipur,0.0,15.0,0.0,0.0,2.0,5.0,35.0,82.0
Purba Medinipur,0.46,113.0,1.0,0.45,28.0,97.0,164.0,220.0
Purulia,0.0,13.0,0.0,0.0,1.0,3.0,11.0,82.0
Uttar Dinajpur,0.0,1.0,0.0,0.0,0.0,1.0,6.0,80.0
