district,mar_23,mar_24,number_of_atm_per_one_lakh_population_mar_22,number_of_bcs_per_one_lakh_population_mar_22,number_of_branches_per_one_lakh_population_mar_22
Alipurduar,211.92,107.92,8.72,170.57,9.32
Bankura,322.44,101.77,7.04,318.66,8.12
Birbhum,285.6,304.28,8.25,294.83,9.65
Cooch Behar,566.92,94.11,7.91,613.25,10.57
Dakshin Dinajpur,402.83,96.17,7.06,425.27,8.8
Darjeeling,310.15,264.89,27.02,290.82,16.46
Hooghly,180.01,65.55,11.27,191.13,10.74
Howrah,176.23,147.09,14.33,185.55,11.2
Jalpaiguri,612.4,154.35,14.32,596.41,10.75
Jhargram,88.16,74.0,7.04,98.63,8.36
Kalimpong,79.48,149.42,47.29,79.48,14.7
Kolkata,155.79,2179.01,49.7,134.67,32.61
Malda,493.25,412.91,5.83,521.09,7.3
Murshidabad,423.46,158.95,8.35,418.62,7.57
Nadia,341.45,316.03,13.23,324.02,9.73
North 24 Parganas,215.03,193.0,16.21,238.0,10.64
Paschim Bardhaman,164.33,128.69,16.93,166.45,13.43
Paschim Medinipur,290.86,245.65,7.66,297.87,8.74
Purba Bardhaman,272.67,267.56,5.81,256.21,9.57
Purba Medinipur,313.4,72.83,9.3,335.29,9.53
Purulia,317.66,59.77,7.17,343.34,6.59
South 24 Parganas,290.86,72.71,13.11,314.48,8.36
Uttar Dinajpur,562.34,130.26,6.73,604.9,7.8
