district,aap_target_for_fy_2024_25_no_of_programs,achievement_no_of_programs,total_to_be_trained,total_trained
Bankura,33.0,15.15,1000.0,15.3
Birbhum,33.0,24.24,1000.0,26.3
Cooch Behar,33.0,15.15,1000.0,14.7
Darjeeling,33.0,18.18,1000.0,19.8
Hooghly,33.0,21.21,1000.0,21.4
Howrah,33.0,9.09,1000.0,9.2
Jalpaiguri,33.0,12.12,1000.0,11.8
Malda,33.0,24.24,1000.0,25.9
Nadia,33.0,33.33,1000.0,28.1
North 24 Parganas,33.0,24.24,1000.0,25.8
Purba Bardhaman,33.0,21.21,1000.0,22.6
Purba Medinipur,33.0,21.21,1000.0,23.0
Purulia,33.0,27.27,1000.0,29.0
South 24 Parganas,33.0,27.27,1000.0,21.4
Uttar Dinajpur,33.0,15.15,1000.0,14.1
