district,amount_crore,disbursed_no,pending_no,rejected_no,sanctioned_no,target_no_fy_2024_25
Alipurduar,3.95,87.0,21.0,14.0,102.0,2530.0
Bankura,4.88,146.0,44.0,58.0,130.0,8208.0
Birbhum,8.35,184.0,73.0,468.0,178.0,5696.0
Cooch Behar,3.5,160.0,155.0,52.0,180.0,4780.0
Darjeeling,4.04,324.0,63.0,72.0,313.0,1900.0
Hooghly,8.57,272.0,114.0,664.0,1098.0,5901.0
Howrah,8.1,202.0,21.0,196.0,236.0,1377.0
Jalpaiguri,1.23,69.0,77.0,140.0,85.0,2540.0
Jhargram,4.16,105.0,64.0,26.0,105.0,2430.0
Kalimpong,1.99,206.0,22.0,17.0,210.0,603.0
Kolkata,3.12,111.0,0.0,13.0,104.0,0.0
Malda,4.48,250.0,48.0,142.0,223.0,6064.0
Murshidabad,4.27,160.0,12.0,64.0,164.0,6510.0
Nadia,3.42,138.0,15.0,52.0,141.0,4969.0
Paschim Bardhaman,1.49,73.0,20.0,98.0,75.0,1215.0
Paschim Medinipur,6.9,357.0,47.0,69.0,352.0,7929.0
Purba Bardhaman,13.65,387.0,125.0,677.0,352.0,7069.0
Purba Medinipur,13.64,483.0,65.0,217.0,835.0,5211.0
Purulia,7.32,165.0,103.0,64.0,159.0,6691.0
Uttar Dinajpur,1.66,64.0,58.0,73.0,71.0,4329.0
