district,amount,kcc_disbursement_during_01_04_2024_to_30_06_2024_fresh_renewal_no,kcc_outstanding_as_on_30_06_2024_no,of_achievement_no,target_no
Alipurduar,541.47,7290.0,77213.0,18.94,38500.0
Bankura,846.87,17891.0,198813.0,9.04,198000.0
Birbhum,928.8,24184.0,253425.0,10.08,240000.0
Cooch Behar,1593.14,21045.0,183911.0,11.08,190000.0
Dakshin Dinajpur,577.21,21444.0,146034.0,18.65,115000.0
Darjeeling,265.13,4076.0,32286.0,22.03,18500.0
Hooghly,1826.37,47218.0,328892.0,11.95,395000.0
Howrah,303.32,12323.0,73048.0,12.97,95000.0
Jalpaiguri,813.08,10252.0,82394.0,25.63,40000.0
Jhargram,263.95,3670.0,44443.0,6.67,55000.0
Kalimpong,175.17,17776.0,65723.0,177.76,10000.0
Kolkata,199.62,614.0,2071.0,,0.0
Malda,662.84,19839.0,142045.0,18.04,110000.0
Murshidabad,1479.98,23822.0,308807.0,25.08,95000.0
Nadia,1339.36,28557.0,225036.0,25.96,110000.0
North 24 Parganas,1036.57,18245.0,262529.0,7.93,230000.0
Paschim Bardhaman,674.66,17037.0,141871.0,68.15,25000.0
Paschim Medinipur,1581.56,84479.0,359880.0,34.48,245000.0
Purba Bardhaman,1623.7,28063.0,274941.0,10.02,280000.0
Purba Medinipur,2333.35,317824.0,656024.0,42.38,750000.0
Purulia,498.63,23213.0,131066.0,66.32,35000.0
South 24 Parganas,1020.07,39181.0,197035.0,23.05,170000.0
Uttar Dinajpur,518.45,13176.0,147848.0,23.96,55000.0
