district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,108.0,0.0,0.0,0.0,153.0,0.0
Bankura,168.0,612.0,1.0,4445.0,6.0,504.0,15.0
Birbhum,212.0,689.0,1.0,946.0,6.0,636.0,15.0
Cooch Behar,136.0,440.0,2.0,1426.0,12.0,408.0,30.0
Dakshin Dinajpur,79.0,90.0,2.0,5314.0,12.0,237.0,30.0
Darjeeling,72.0,224.0,2.0,163.0,12.0,216.0,30.0
Hooghly,237.0,16.0,1.0,0.0,6.0,711.0,15.0
Howrah,115.0,31.0,2.0,1996.0,12.0,345.0,30.0
Jalpaiguri,79.0,137.0,1.0,197.0,6.0,237.0,15.0
Jhargram,83.0,168.0,1.0,120.0,6.0,249.0,15.0
Kalimpong,12.0,35.0,1.0,552.0,6.0,36.0,15.0
Kolkata,7.0,21.0,1.0,223.0,6.0,21.0,15.0
Malda,189.0,264.0,2.0,80.0,12.0,567.0,30.0
Murshidabad,339.0,1089.0,2.0,510.0,12.0,1017.0,30.0
Nadia,176.0,530.0,1.0,975.0,6.0,528.0,15.0
North 24 Parganas,316.0,787.0,1.0,1050.0,6.0,948.0,15.0
Paschim Bardhaman,102.0,98.0,1.0,267.0,6.0,306.0,15.0
Paschim Medinipur,250.0,492.0,1.0,186.0,6.0,750.0,15.0
Purba Bardhaman,328.0,1155.0,1.0,2039.0,6.0,984.0,15.0
Purba Medinipur,252.0,15.0,2.0,3842.0,12.0,756.0,30.0
Purulia,151.0,327.0,1.0,479.0,6.0,453.0,15.0
South 24 Parganas,304.0,658.0,1.0,645.0,6.0,912.0,15.0
Uttar Dinajpur,89.0,310.0,1.0,14880.0,6.0,267.0,15.0
