District,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Pct
Anjaw,3,6,3,12,13.36
Changlang,359,57,13,429,4.72
Dibang Valley,2,5,4,11,6.15
East Kameng,145,60,63,268,29.53
East Siang,281,296,107,684,11.53
Kamle,27,30,16,73,52.98
Kra Daadi,231,65,35,331,33.19
Kurung Kumey,15,78,23,116,60.32
Lepa Rada,20,55,14,89,11.37
Lohit,123,128,52,303,6.83
Longding,27,32,15,74,18.44
Lower Dibang Valley,100,179,43,322,6.67
Lower Siang,41,56,12,109,1.88
Lower Subansiri,182,218,129,529,28.29
Namsai,101,164,41,306,4.14
Pakke Kessang,29,14,5,48,11.19
Papum Pare,1393,1321,799,3513,15.35
Shi Yomi,0,7,6,13,40.34
Siang,8,37,9,54,10.55
Tawang,70,198,130,398,11.68
Tirap,29,34,18,81,13.98
Upper Siang,49,72,6,127,14.49
Upper Subansiri,71,196,65,332,33.29
West Kameng,244,455,227,926,3.13
West Siang,244,195,90,529,9.88
