district,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priority Sector Total,Loans to weaker
Anjaw,0,0,0,0,0,0,0,71
Changlang,0,5,2,0,0,0,7,200
Dibang Valley,0,0,0,0,0,0,0,28
East Kameng,0,0,1,0,0,0,1,52
East Siang,0,6,6,0,0,0,12,217
Kamle,0,0,0,0,0,0,0,69
Kra Daadi,0,0,3,0,0,0,3,141
Kurung Kumey,0,0,0,0,0,0,0,64
Lepa Rada,0,0,1,0,0,0,1,37
Lohit,0,4,1,0,0,0,5,316
Longding,0,1,0,0,0,0,1,242
Lower Dibang Valley,0,1,1,0,0,0,2,253
Lower Siang,0,3,3,0,0,0,6,152
Lower Subansiri,0,2,6,0,0,0,8,176
Namsai,0,3,1,0,0,0,4,352
Pakke Kessang,0,0,0,0,0,0,0,129
Papum Pare,0,35,22,0,0,1,58,1059
Shi Yomi,0,0,0,0,0,0,0,3
Siang,0,0,1,0,0,0,1,67
Tawang,0,0,2,0,0,0,2,162
Tirap,0,3,0,0,0,0,3,101
Upper Siang,0,0,0,0,0,0,0,66
Upper Subansiri,0,2,3,0,0,0,5,81
West Kameng,0,3,2,0,0,0,5,339
West Siang,0,1,6,0,0,0,7,133
