district,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,2929,7420,638,4077,10699,1105,24,7030
Changlang,16157,48005,4043,50737,74704,14905,2207,69101
Dibang Valley,1819,3247,712,2436,4239,910,40,4295
East Kameng,3746,27525,779,6436,36333,1444,435,10617
East Siang,19824,128196,6359,52338,161282,17903,3402,75564
Kamle,608,3578,246,980,5237,418,5,1593
Kra Daadi,952,5063,241,1303,7833,375,15,2270
Kurung Kumey,1481,5685,350,2109,8176,523,108,3698
Lepa Rada,2837,12067,908,4021,16550,1283,134,6992
Lohit,14961,26554,3465,23627,36723,6804,563,39151
Longding,3144,16000,351,11279,25806,1613,207,14630
Lower Dibang Valley,8248,22460,2875,16226,31202,5018,1006,25480
Lower Siang,9914,65841,3168,37075,77002,11127,1826,48815
Lower Subansiri,7731,43441,3591,11934,56882,5502,452,20117
Namsai,19828,32088,8610,43821,45162,17987,4994,68643
Pakke Kessang,264,2666,81,344,3892,102,9,617
Papum Pare,39149,189853,17338,69691,243142,30477,4900,113740
Shi Yomi,421,3281,139,1319,4445,256,20,1760
Siang,1542,12871,613,3412,17286,1434,196,5150
Tawang,10630,32723,4516,13726,42224,5954,456,24812
Tirap,4425,19599,1447,8229,29393,2308,158,12812
Upper Siang,3767,19039,1970,6284,25900,2925,107,10158
Upper Subansiri,8152,43194,3551,14777,56716,5005,271,23200
West Kameng,18238,51947,6895,29557,69214,10897,1327,49122
West Siang,6710,43706,2033,12133,58368,3659,677,19520
