District,NRLM Os,NRLM Irregular,NRLM NPA,NULM Os,NULM NPA,PMEGP Os,PMEGP NPA,SHG Os,SHG NPA,SUI Os,SUI NPA
Anjaw,0,0,0,0,0,3,1,6,0,0,0
Changlang,0,0,0,0,0,16,7,32,38,12,5
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,0,0,0,3,0,13,8,55,0,5,0
East Siang,14,2,0,1,0,37,17,18,4,12,0
Kamle,0,0,0,0,0,17,12,0,0,0,0
Kra Daadi,51,2,0,0,0,28,14,72,0,0,0
Kurung Kumey,1,0,0,0,0,50,40,16,0,5,0
Lepa Rada,58,9,0,0,0,14,5,66,1,2,0
Lohit,26,0,0,1,0,15,2,24,3,4,0
Longding,0,0,0,0,0,6,1,35,36,3,0
Lower Dibang Valley,40,5,1,1,0,2,0,44,2,1,0
Lower Siang,6,0,0,3,0,8,0,10,0,7,0
Lower Subansiri,98,11,3,3,0,88,43,198,6,3,0
Namsai,52,7,0,0,0,50,12,119,33,39,0
Pakke Kessang,19,2,0,0,0,2,0,20,0,1,0
Papum Pare,444,143,95,41,1,353,128,268,16,142,4
Shi Yomi,0,0,0,0,0,17,14,17,0,7,0
Siang,22,1,0,17,0,19,8,50,0,1,0
Tawang,7,5,0,0,0,27,3,24,0,38,0
Tirap,1,0,0,0,0,8,3,5,0,3,0
Upper Siang,4,1,0,0,0,14,6,76,0,4,0
Upper Subansiri,88,6,2,2,0,56,36,109,6,1,0
West Kameng,0,0,0,3,0,73,12,59,11,40,1
West Siang,59,5,0,2,0,33,10,95,10,1,0
