District,Micro,Small,Medium,Other MSME,MSME Total
Anjaw,23,3,0,0,26
Changlang,398,9,0,2,409
Dibang Valley,12,7,0,0,19
East Kameng,240,22,0,6,268
East Siang,2217,80,7,206,2510
Kamle,0,0,0,3,3
Kra Daadi,274,15,0,5,294
Kurung Kumey,80,26,0,17,123
Lepa Rada,34,4,0,36,74
Lohit,284,11,0,28,323
Longding,61,6,0,0,67
Lower Dibang Valley,170,67,0,25,262
Lower Siang,62,20,0,75,157
Lower Subansiri,560,69,0,158,787
Namsai,263,160,0,37,460
Pakke Kessang,52,2,0,1,55
Papum Pare,10575,1172,38,862,12647
Shi Yomi,0,0,0,11,11
Siang,24,8,0,12,44
Tawang,368,117,0,24,509
Tirap,79,15,0,3,97
Upper Siang,43,14,0,39,96
Upper Subansiri,221,39,0,175,435
West Kameng,896,129,2,89,1116
West Siang,563,26,0,82,671
