District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No of Zero Balance A/C,Amt Deposits held in the A/C,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Anjaw,1651,0,726,925,1651,56,143.1,1484,1175,563
Changlang,46677,0,20994,25677,46671,3102,1570.73,46071,31129,13571
Dibang Valley,507,0,253,254,507,35,237.89,396,160,291
East Kameng,3783,10547,6493,7833,14326,1153,691.17,10803,9148,3657
East Siang,32400,21053,24065,29368,53433,5356,2685.58,51583,30935,16355
Kamle,1425,0,530,895,1425,18,86.56,1304,347,304
Kra Daadi,2818,0,1048,1768,2816,31,190.72,3628,1567,684
Kurung Kumey,3892,0,1443,2446,3889,568,334.35,4063,2155,1674
Lepa Rada,3191,0,1284,1904,3188,284,250,2749,1939,981
Lohit,3785,7478,4784,6477,11261,1023,486.35,10828,6453,5194
Longding,10820,0,3689,7130,10819,356,422.98,10656,7084,4604
Lower Dibang Valley,2840,11098,6362,7576,13938,1229,632.21,13062,5100,6629
Lower Siang,21708,0,10009,11697,21706,968,649.73,16743,13113,2302
Lower Subansiri,6440,5575,5251,6759,12010,413,1051.59,11326,6153,4033
Namsai,15463,15494,14742,16213,30955,2809,1194.33,28036,17868,18791
Pakke Kessang,360,0,188,172,360,12,13.94,255,57,143
Papum Pare,34284,34597,29554,37467,67021,6844,3289.34,60194,36161,29424
Shi Yomi,1625,0,757,866,1623,132,313.58,2118,1242,763
Siang,4962,0,2657,2302,4959,120,486.09,3808,3334,1549
Tawang,3740,1144,1974,2908,4882,389,545.3,4241,2481,2688
Tirap,15281,0,6586,8691,15277,706,874.92,16163,9314,7304
Upper Siang,4414,0,1886,2528,4414,204,409.61,2314,1718,2968
Upper Subansiri,7824,13402,9358,11854,21212,2232,1630,21579,12819,8768
West Kameng,15115,420,7182,8350,15532,982,1191.22,13550,7500,6256
West Siang,6549,8582,7842,9160,17002,1336,1296.69,12917,6516,7945
