District,Agriculture (NPS),Msme (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total Acp (NPS)
Anjaw,0,0,0,0,0,23,82,105
Changlang,2,0,0,0,5,238,789,1034
Dibang Valley,0,0,0,0,3,42,323,368
East Kameng,2,0,0,0,21,97,282,402
East Siang,1,1,0,1,23,354,1432,1812
Kamle,6,0,0,0,0,9,35,50
Kra Daadi,1,0,0,0,6,191,1430,1628
Kurung Kumey,0,0,0,0,0,24,143,167
Lepa Rada,1,0,0,0,17,61,167,246
Lohit,5,0,0,1,1,203,509,719
Longding,8,0,0,0,5,87,364,464
Lower Dibang Valley,19,0,0,0,2,140,522,683
Lower Siang,2,0,0,0,30,46,260,338
Lower Subansiri,3,0,0,0,15,198,632,848
Namsai,6,0,0,0,4,89,448,547
Pakke Kessang,4,0,0,0,0,15,51,70
Papum Pare,24,10,0,2,318,1356,4136,5846
Shi Yomi,0,0,0,0,0,5,32,37
Siang,0,0,0,0,0,31,87,118
Tawang,3,0,0,0,4,153,510,670
Tirap,1,0,0,0,1,206,430,638
Upper Siang,7,0,0,0,1,33,213,254
Upper Subansiri,1,0,0,0,43,206,464,714
West Kameng,2,0,0,0,21,200,1092,1315
West Siang,1,0,0,0,37,244,628,910
