District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,Ops
Anjaw,0,0,1,0,0,0,1
Changlang,0,17,17,0,0,23,57
Dibang Valley,0,0,8,0,0,4,12
East Kameng,0,1,27,0,0,75,103
East Siang,0,22,71,0,0,117,210
Kamle,0,0,1,0,0,0,1
Kra Daadi,0,1,10,0,0,0,11
Kurung Kumey,0,0,16,0,0,14,30
Lepa Rada,0,0,38,0,0,13,51
Lohit,0,12,18,0,0,13,43
Longding,0,9,0,0,0,0,9
Lower Dibang Valley,0,4,5,0,0,22,31
Lower Siang,0,6,25,0,0,3,34
Lower Subansiri,0,17,74,0,0,75,166
Namsai,0,12,23,0,0,71,106
Pakke Kessang,0,0,16,0,0,0,16
Papum Pare,0,223,686,1,0,1129,2039
Shi Yomi,0,1,2,0,0,22,25
Siang,0,0,4,0,0,0,4
Tawang,0,3,17,0,0,35,55
Tirap,0,10,17,0,0,8,35
Upper Siang,0,2,4,0,0,81,87
Upper Subansiri,0,13,55,0,0,51,119
West Kameng,0,14,49,0,0,18,81
West Siang,0,8,73,1,0,29,111
