District,During the Quarter Savings Linked,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Pct
Anjaw,38,0,38,1,6,0,0
Changlang,721,0,723,2,32,38,40.7
Dibang Valley,13,0,14,0,0,0,0
East Kameng,178,0,198,0,55,0,0
East Siang,32,5,40,1,18,4,3.91
Kamle,11,0,11,0,0,0,0
Kra Daadi,168,0,168,13,72,0,0
Kurung Kumey,48,0,64,1,16,0,0
Lepa Rada,60,0,61,0,66,1,0.21
Lohit,88,16,88,17,24,3,1.62
Longding,137,0,137,0,35,36,107.74
Lower Dibang Valley,12,7,14,1,44,2,3.85
Lower Siang,12,0,44,0,10,0,0
Lower Subansiri,32,21,34,17,198,6,0.84
Namsai,21,1,21,6,119,33,23.95
Pakke Kessang,80,0,80,0,20,0,0
Papum Pare,81,13,122,16,268,16,4.07
Shi Yomi,4,0,6,0,17,0,0
Siang,66,6,67,3,50,0,0
Tawang,147,0,160,1,24,0,0
Tirap,581,0,591,0,5,0,0
Upper Siang,22,0,22,0,76,0,0
Upper Subansiri,96,13,96,15,109,6,8.35
West Kameng,197,0,201,24,59,11,4.64
West Siang,20,12,27,0,95,10,21.93
