district,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,15,0,10,0,0,0,25
Changlang,824,48,434,6,0,0,1312
Dibang Valley,86,11,38,6,0,0,141
East Kameng,1232,88,117,2,0,0,1439
East Siang,883,191,62,6,0,1,1143
Kamle,9,2,0,0,0,0,11
Kra Daadi,356,6,17,10,1,1,391
Kurung Kumey,1018,21,28,0,0,0,1067
Lepa Rada,401,49,101,0,0,0,551
Lohit,150,56,533,4,0,0,743
Longding,1992,27,36,2,0,0,2057
Lower Dibang Valley,829,67,141,0,0,0,1037
Lower Siang,345,17,10,1,0,0,373
Lower Subansiri,2491,222,123,1,0,0,2837
Namsai,1107,42,1731,2,0,0,2882
Pakke Kessang,87,7,7,1,0,0,102
Papum Pare,16835,2368,1425,62,1,7,20698
Shi Yomi,124,1,173,0,0,0,298
Siang,12,1,6,0,0,0,19
Tawang,81,23,2080,25,0,0,2209
Tirap,1512,18,502,2,0,0,2034
Upper Siang,148,3,54,0,0,0,205
Upper Subansiri,284,50,130,1,0,1,466
West Kameng,1092,83,3005,25,1,1,4207
West Siang,95,41,1336,4,0,0,1476
