district,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,1,0.5,14,39.38,0,0,15,39.88
Changlang,255,47.69,139,225.26,11,80.99,405,353.94
Dibang Valley,0,0,62,166.74,1,9.9,63,176.64
East Kameng,10,1.81,31,54.74,18,94.05,59,150.6
East Siang,52,7.58,169,273.15,36,255.93,257,536.66
Kamle,20,3.6,71,101.69,3,21,94,126.29
Kra Daadi,111,24.44,63,91.38,4,20.71,178,136.53
Kurung Kumey,8,3.04,48,49.37,2,10.6,58,63.01
Lepa Rada,2,0.5,54,51.25,3,22.67,59,74.42
Lohit,39,6.9,160,357.02,28,221.34,227,585.26
Longding,12,3.44,114,158.86,7,49.11,133,211.41
Lower Dibang Valley,64,9.74,137,241.21,6,45.92,207,296.87
Lower Siang,27,7.79,112,181.69,4,26.58,143,216.06
Lower Subansiri,145,25.43,170,373.91,26,155.25,341,554.59
Namsai,10,1.91,195,354.8,10,64.52,215,421.23
Pakke Kessang,17,5.66,176,272.96,1,6,194,284.62
Papum Pare,347,196.32,267,633.58,142,1181.32,756,2011.22
Shi Yomi,0,0,0,0,1,2.5,1,2.5
Siang,6,1.81,70,76.55,3,17.95,79,96.31
Tawang,96,10.84,218,354.32,28,215.49,342,580.65
Tirap,47,6.59,97,159.2,8,50.4,152,216.19
Upper Siang,25,4.26,85,157.06,2,14.55,112,175.87
Upper Subansiri,20,3.34,81,160.18,28,159.79,129,323.31
West Kameng,158,23.36,300,656.58,71,554.9,529,1234.84
West Siang,39,6.79,109,199.64,21,155.78,169,362.21
