district,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,226,8,0,0,234
Changlang,741,487,0,0,1228
Dibang Valley,154,59,0,0,213
East Kameng,90,1677,0,0,1767
East Siang,1018,1000,0,64,2082
Kamle,93,36,0,1,130
Kra Daadi,295,60,0,1,356
Kurung Kumey,120,364,0,0,484
Lepa Rada,340,660,0,0,1000
Lohit,1748,843,0,0,2591
Longding,585,63,0,0,648
Lower Dibang Valley,659,341,0,5,1005
Lower Siang,308,148,0,0,456
Lower Subansiri,957,2007,1,1,2966
Namsai,1878,566,0,15,2459
Pakke Kessang,329,11,0,0,340
Papum Pare,4723,3119,1,305,8148
Shi Yomi,1,80,0,0,81
Siang,109,120,0,0,229
Tawang,230,190,0,1,421
Tirap,553,1305,0,0,1858
Upper Siang,177,289,0,0,466
Upper Subansiri,731,994,0,4,1729
West Kameng,713,1004,1,5,1723
West Siang,617,448,3,2,1070
