District,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,0,207281,0,1,11,9788
Changlang,0,2476208,0,21,3728,136729
Dibang Valley,0,114170,0,1,1978,7764
East Kameng,1553,845343,51,722,14934,49300
East Siang,87067833,2834246,1032,4984913,47225,176721
Kamle,0,164891,0,1,1,8933
Kra Daadi,0,227595,0,0,3,15488
Kurung Kumey,0,163648,0,2,11776,11738
Lepa Rada,0,573779,0,0,2502,31885
Lohit,1749,1248009,0,977,1672,69528
Longding,0,773650,0,1,3,28866
Lower Dibang Valley,54664067,1003193,78,4542170,24341,68505
Lower Siang,1,672699,0,0,2,37138
Lower Subansiri,456443,1685873,41,51737,9993,120047
Namsai,969,1232413,960,690,7853,84170
Pakke Kessang,0,201876,0,0,20,13099
Papum Pare,231120068,9141418,7153,24540843,318626,978796
Shi Yomi,0,88023,0,0,1599,6492
Siang,0,304739,0,0,0,15297
Tawang,37798982,719567,259,2568922,17679,56377
Tirap,0,1038409,0,11,974,68986
Upper Siang,0,481313,0,1,5765,25012
Upper Subansiri,807,1050911,0,425,9501,59265
West Kameng,58432,2104093,434,9272,11292,164571
West Siang,140215,1542833,188,17539,31346,100543
