District,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,15,0,10,0,0,0,25
Changlang,795,75,405,0,0,0,1275
Dibang Valley,54,9,24,6,0,0,93
East Kameng,188,16,37,1,0,0,242
East Siang,318,69,55,4,0,0,446
Kamle,9,2,0,0,0,0,11
Kra Daadi,123,2,11,3,0,0,139
Kurung Kumey,1018,21,28,0,0,0,1067
Lepa Rada,401,49,101,0,0,0,551
Lohit,149,53,530,3,0,0,735
Longding,1792,13,11,2,0,0,1818
Lower Dibang Valley,645,39,110,0,0,0,794
Lower Siang,345,17,10,1,0,0,373
Lower Subansiri,2403,99,119,1,0,0,2622
Namsai,219,42,1731,2,0,0,1994
Pakke Kessang,87,7,7,1,0,0,102
Papum Pare,5508,391,1201,62,0,5,7167
Shi Yomi,124,1,173,0,0,0,298
Siang,12,1,6,0,0,0,19
Tawang,57,21,1739,15,0,0,1832
Tirap,1512,17,502,2,0,0,2033
Upper Siang,148,3,54,0,0,0,205
Upper Subansiri,271,25,130,0,0,1,427
West Kameng,770,46,2431,19,0,0,3266
West Siang,88,19,1331,4,0,0,1442
