District,Target,SANCTIONED,DISBURSED,OUTSTANDING,NPA,PMEGP NPA Amt. %
Anjaw,4,0,0,3,1,5.41
Changlang,6,0,0,16,7,21.54
Dibang Valley,5,0,0,0,0,0
East Kameng,8,7,1,13,8,41.79
East Siang,12,7,0,37,17,54.78
Kamle,5,0,0,17,12,72.57
Kra Daadi,5,1,0,28,14,28.69
Kurung Kumey,5,0,0,50,40,70.67
Lepa Rada,5,4,0,14,5,27.49
Lohit,7,1,0,15,2,5.73
Longding,5,2,2,6,1,12.96
Lower Dibang Valley,8,0,0,2,0,0
Lower Siang,5,3,0,8,0,0
Lower Subansiri,20,26,2,88,43,38.42
Namsai,10,1,1,50,12,32.09
Pakke Kessang,4,1,1,2,0,0
Papum Pare,60,76,61,353,128,21.14
Shi Yomi,5,0,0,17,14,63.88
Siang,5,1,1,19,8,24.85
Tawang,10,7,1,27,3,6.84
Tirap,6,0,0,8,3,27.88
Upper Siang,5,0,0,14,6,33.37
Upper Subansiri,10,32,4,56,36,62.68
West Kameng,10,18,5,73,12,3.19
West Siang,10,3,2,33,10,23.19
