district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,0,4,4
Changlang,0,0,0,3,56,59
Dibang Valley,0,0,0,2,51,53
East Kameng,0,0,1,9,109,119
East Siang,0,0,0,17,146,163
Kamle,0,0,0,0,11,11
Kra Daadi,0,0,1,13,71,85
Kurung Kumey,0,0,0,17,96,113
Lepa Rada,0,0,0,4,12,16
Lohit,0,0,0,10,46,56
Longding,1,0,0,2,45,48
Lower Dibang Valley,0,0,0,12,46,58
Lower Siang,0,0,0,0,8,8
Lower Subansiri,0,0,0,55,292,347
Namsai,0,0,0,15,127,142
Pakke Kessang,0,0,0,0,10,10
Papum Pare,0,0,14,480,1191,1685
Shi Yomi,0,0,0,14,29,43
Siang,0,0,0,0,7,7
Tawang,0,0,0,56,26,82
Tirap,0,0,0,9,36,45
Upper Siang,0,0,0,4,19,23
Upper Subansiri,0,0,0,8,163,171
West Kameng,0,0,0,23,72,95
West Siang,0,0,0,14,82,96
