District,Agri & Allied Sector,Msme Priorityrityrityrity Sector,Other Priorityrityrityrity Sector,Total Priorityrityrityrity Sector
Anjaw,189.0,116.0,56.0,361.0
Changlang,297.82680000000005,1184.9427999999998,56.0,1538.7695999999999
Dibang Valley,166.0,170.0,50.0,386.0
East Kameng,92.0,420.0,28.0,540.0
East Siang,385.0,1181.0,406.0,1972.0
Kamle,38.800000000000004,84.0,18.0,140.8
Kra Daadi,144.76319999999998,201.1882,48.2079701120797,394.15937011207967
Kurung Kumey,209.70850000000002,519.857,110.0,839.5654999999999
Lepa Rada,132.061,172.96500000000003,34.0,339.02600000000007
Lohit,154.0,284.0,77.0,515.0
Longding,259.0,57.0,25.0,341.0
Lower Dibang Valley,179.3114,596.064,37.0,812.3753999999999
Lower Siang,633.0,354.0,88.0,1075.0
Lower Subansiri,270.8,314.24699999999996,75.463,660.51
Namsai,342.0,105.0,32.0,479.0
Pakke Kessang,80.0,72.0,17.0,169.0
Papum Pare,3772.0,16991.84,830.0,21593.84
Shi Yomi,268.69120000000004,122.406,9.0,400.09720000000004
Siang,108.0,311.0,98.0,517.0
Tawang,378.0,295.0,140.0,813.0
Tirap,256.0,65.0,27.0,348.0
Upper Siang,143.0,36.0,17.0,196.0
Upper Subansiri,328.6,969.3100000000001,94.0,1391.91
West Kameng,575.0,633.0,216.0,1424.0
West Siang,247.38240000000002,981.909,61.0,1290.2914
