District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overall CD Ratio
Anjaw,11918.9,0.0,0.0,11918.9,3330.9,0.0,0.0,3330.9,27.95,0.0,,27.95
Changlang,68984.6,2637.63,0.0,71622.23,18225.89,925.43,338.84,19490.16,26.42,35.09,,27.21
Dibang Valley,23807.14,1953.18,0.0,25760.32,2108.77,1506.11,187.38,3802.26,8.86,77.11,,14.76
East Kameng,0.0,22740.79,0.0,22740.79,19.01,16358.55,9.06,16386.62,0.0,71.93,,72.06
East Siang,34997.47,123250.72,0.0,158248.19,7913.14,41844.55,344.92,50102.61,22.61,33.95,,31.66
Kamle,3056.24,0.0,0.0,3056.24,1105.48,0.0,0.0,1105.48,36.17,0.0,,36.17
Kra Daadi,5592.47,0.0,0.0,5592.47,3198.82,8224.29,3111.34,14534.45,57.2,0.0,,259.89
Kurung Kumey,7840.13,2568.19,0.0,10408.32,4240.43,1494.01,0.0,5734.44,54.09,58.17,,55.09
Lepa Rada,26306.52,1575.28,0.0,27881.8,8380.12,1347.22,0.0,9727.34,31.86,85.52,,34.89
Lohit,7741.89,37485.72,0.0,45227.61,2988.13,14046.72,220.23,17255.08,38.6,37.47,,38.15
Longding,16670.46,0.0,0.0,16670.46,10987.28,0.0,0.0,10987.28,65.91,0.0,,65.91
Lower Dibang Valley,3028.94,69078.64,0.0,72107.58,293.78,13595.52,72.19,13961.49,9.7,19.68,,19.36
Lower Siang,21875.87,0.0,0.0,21875.87,9946.52,0.0,0.0,9946.52,45.47,0.0,,45.47
Lower Subansiri,14189.41,56452.2,0.0,70641.61,6073.89,23153.88,15.87,29243.64,42.81,41.02,,41.4
Namsai,32037.77,25334.83,0.0,57372.6,10756.19,8203.52,0.0,18959.71,33.57,32.38,,33.05
Pakke Kessang,2919.26,0.0,0.0,2919.26,2377.78,0.0,0.0,2377.78,81.45,0.0,,81.45
Papum Pare,90013.56,1086513.63,0.0,1176527.19,41586.73,311964.05,42.65,353593.43,46.2,28.71,,30.05
Shi Yomi,6095.18,1786.89,0.0,7882.07,994.88,239.73,0.0,1234.61,16.32,13.42,,15.66
Siang,14951.51,0.0,0.0,14951.51,3169.69,0.0,0.0,3169.69,21.2,0.0,,21.2
Tawang,27581.19,113505.77,0.0,141086.96,4703.08,11043.83,361.04,16107.95,17.05,9.73,,11.42
Tirap,34537.89,2027.02,0.0,36564.91,14576.36,1134.47,35.93,15746.76,42.2,55.97,,43.07
Upper Siang,31691.41,2171.47,0.0,33862.88,5909.2,745.47,34.08,6688.75,18.65,34.33,,19.75
Upper Subansiri,15641.18,28687.0,0.0,44328.18,4747.02,20721.96,574.35,26043.33,30.35,72.23,,58.75
West Kameng,104703.66,355.85,0.0,105059.51,32150.25,1260.76,367.05,33778.06,30.71,354.3,,32.15
West Siang,8327.24,70991.89,0.0,79319.13,1555.1,28531.99,110.23,30197.32,18.67,40.19,,38.07
